metric,label,rate,a_mean,a_sd,a_lo,a_hi,b_mean,b_sd,b_lo,b_hi,delta_pct,t,df,p_raw,g,g_lo,g_hi,shapiro_p_treatment,shapiro_p_reference,p_holm
mean_throughput_proofs_s,Throughput (proofs/s),250.0,249.8498835348252,1.692561028372812,248.6390983144019,251.0606687552485,249.8479106853496,1.9290872400416454,248.46792480596594,251.22789656473327,0.0007896201613993688,0.002430963611162993,17.70056928005412,0.998087561788388,0.0010404354278826678,-0.8754982776449657,0.877579148500731,0.6337361456338059,0.7441807369340686,1.0
mean_throughput_proofs_s,Throughput (proofs/s),500.0,499.23215488215493,3.495109253661641,496.7319043404261,501.73240542388373,499.7015824915825,3.5098887615359766,497.1907593268289,502.21240565633605,-0.09394158951567112,-0.2996916506275769,17.999679502378832,0.7678456002962591,-0.1283630003086351,-1.0059040451402996,0.7491780445230294,0.021843327633259645,0.011030634241774835,1.0
mean_throughput_proofs_s,Throughput (proofs/s),1000.0,999.2685185185185,9.111208345360906,992.750752706927,1005.78628433011,1002.0609788359791,10.289137900912737,994.7005729820767,1009.4213846898815,-0.2786716952799026,-0.6425300973616138,17.740316223447014,0.528746282734537,-0.2750264540705976,-1.1561573072764384,0.6061043991352433,0.001482982263504545,0.004457758053099081,1.0
mean_throughput_proofs_s,Throughput (proofs/s),1500.0,1501.9944444444445,8.999826625368636,1495.5563563154485,1508.4325325734405,1505.361111111111,8.427502904930972,1499.3324387079808,1511.3897835142413,-0.22364512021847135,-0.863475870000882,17.92284705227987,0.3992840490810619,-0.3697703751347292,-1.2545927438221347,0.5150519935526763,0.8138906374286419,0.5644944949255349,1.0
mean_throughput_proofs_s,Throughput (proofs/s),2000.0,1970.1928571428573,4.392847464178301,1967.0504033724817,1973.335310913233,1974.814285714286,4.13740747202507,1971.8545627063581,1977.7740087222137,-0.23401838870924832,-2.4217795101080037,17.93578218144246,0.026267776270946168,-1.0371237645255196,-1.9768584153183804,-0.0973891137326588,0.7842121913845584,0.7613821320413233,0.18387443389662317
mean_throughput_proofs_s,Throughput (proofs/s),2500.0,2500.072727272727,9.906338233175937,2492.9861598047437,2507.1592947407107,2502.590909090909,11.301953803639964,2494.5059783865136,2510.6758397953045,-0.10062299071870905,-0.5298562961366039,17.69611793585702,0.6027967940194597,-0.22677219143802596,-1.1064355848882923,0.6528912020122405,0.25733583512929625,0.4672506087697924,1.0
mean_throughput_proofs_s,Throughput (proofs/s),3000.0,3018.0000000000005,18.297720742271295,3004.910599103494,3031.089400896507,3015.5555555555557,15.887118955205239,3004.1905952949724,3026.920515816139,0.08106116433309941,0.31899546586616134,17.652353379673414,0.7534737410555159,0.13651084126578958,-0.7411614118798494,1.0141830944114285,0.9926198478569221,0.731607511508349,1.0
mean_latency_ms,Mean latency (ms),250.0,348.29026490145753,1.556487654184042,347.1768207089789,349.4037090939362,394.85739475752325,1.8089935174490566,393.5633187519599,396.1514707630866,-11.79340452384385,-61.70613724929901,17.607949857848716,5.004476683447549e-22,-26.403466814245302,-35.07302450283741,-17.73390912565319,0.4144765282767588,0.7278477904273651,3.0026860100685294e-21
mean_latency_ms,Mean latency (ms),500.0,349.7975757086053,1.4398038624227865,348.7676020723779,350.8275493448327,402.81731135023296,1.9288860251259192,401.43746941132883,404.1971532891371,-13.162228669842149,-69.65654632889097,16.653263627424938,5.657086020745088e-22,-29.727033348077985,-39.47734394036912,-19.976722755786852,0.11036883537941677,0.9420184276426884,3.0026860100685294e-21
mean_latency_ms,Mean latency (ms),1000.0,353.5958993710102,1.6781826138444875,352.39539984871664,354.7963988933038,417.1811391136206,1.6801062596235363,415.97926349803436,418.3830147292068,-15.24163817130111,-84.67460689769331,17.99997637641808,7.1925937191661835e-25,-36.267592336435044,-48.1473872234977,-24.387797449372385,0.8094282349200121,0.7773529960977366,5.0348156034163284e-24
mean_latency_ms,Mean latency (ms),1500.0,357.5671249066929,1.8613502076025443,356.2355951812545,358.89865463213135,404.1945948651229,1.5604016522477007,403.0783507670995,405.3108389631463,-11.535896459473749,-60.70648136069629,17.46777891321435,9.078302333276344e-22,-25.96617381778511,-34.49362668940383,-17.438720946166384,0.8426081692961065,0.5959836696620731,3.6313209333105376e-21
mean_latency_ms,Mean latency (ms),2000.0,361.69139051411463,1.893191799776326,360.3370826858176,363.04569834241164,396.7680359283873,1.6828291511233946,395.5642124735624,397.9718593832122,-8.840592547279602,-43.790797850163536,17.755915799728445,1.530305529801956e-19,-18.744816349498965,-24.930542226542883,-12.559090472455049,0.9162658743434492,0.9038022595154399,4.590916589405868e-19
mean_latency_ms,Mean latency (ms),2500.0,365.9875413252663,1.8622906196602833,364.6553388695679,367.3197437809647,392.5541612862982,1.6945602467775889,391.3419459111825,393.7663766614139,-6.7676317260222065,-33.365934497025485,17.841996702396244,1.5739527485775063e-17,-14.285542374239226,-19.033760318051968,-9.537324430426485,0.815136841599196,0.7832865839766138,3.1479054971550125e-17
mean_latency_ms,Mean latency (ms),3000.0,370.70383215393224,1.8525032422315337,369.37863116626886,372.0290331415956,390.0120249976566,1.6778928377183628,388.81173276871607,391.2123172265972,-4.950666032371796,-24.42882929337747,17.826421718032364,3.730631214434832e-15,-10.458730148688778,-13.9858988099476,-6.931561487429956,0.6015989148149539,0.6241735155397911,3.730631214434832e-15
median_latency_ms,Median latency (ms),250.0,302.11114415920264,1.2851379009750363,301.1918118866155,303.0304764317898,350.8763114947781,1.9606118720666819,349.4737742521672,352.27884873738907,-13.898107606019229,-65.7813856371415,15.528552072200627,2.0126102786517227e-20,-27.974230613249716,-37.15442171691603,-18.7940395095834,0.09086694876897522,0.6534188641203832,1.0063051393258613e-19
median_latency_ms,Median latency (ms),500.0,303.65101192124155,1.4167694489801381,302.63751611174536,304.66450773073774,358.44474204807835,2.278625107643484,356.81471184120744,360.07477225494927,-15.28652082152381,-64.57786430833951,15.053880177629349,8.130684231388096e-20,-27.416963958536705,-36.41596311375535,-18.417964803318053,0.5213481115652561,0.9218014436477506,3.2522736925552383e-19
median_latency_ms,Median latency (ms),1000.0,307.3333049209016,1.659637024168556,306.146072114258,308.52053772754516,372.79098152152966,1.6687997339953957,371.59719410713404,373.9847689359253,-17.55881441484059,-87.94955143344541,17.999454392920413,3.643327596066218e-25,-37.670258605045696,-50.00705517911416,-25.33346203097723,0.9101725375216295,0.8040745467083543,2.5503293172463527e-24
median_latency_ms,Median latency (ms),1500.0,311.14126204483966,1.6653599933513634,309.9499352726685,312.33258881701084,358.93225153971173,1.7824745984164194,357.65714602601724,360.2073570534062,-13.314766028926922,-61.953264909708835,17.917497895398952,2.3470630789441725e-22,-26.530185045165695,-35.24092624386793,-17.819443846463457,0.577695116788179,0.855938875036387,1.4082378473665035e-21
median_latency_ms,Median latency (ms),2000.0,315.4376945178333,2.120699259410474,313.92063765712714,316.9547513785394,350.7953740822678,1.6097857248629808,349.6438027468541,351.94694541768155,-10.079289003435525,-41.99505424005715,16.78649128209064,1.922602801597614e-18,-17.92897213337791,-23.850998619357256,-12.006945647398567,0.9821068786874986,0.42723221184175486,5.767808404792842e-18
median_latency_ms,Median latency (ms),2500.0,319.6114820077102,1.955181175431686,318.2128296514413,321.0101343639791,346.18898641512953,1.7651864541381013,344.92624809483596,347.4517247354231,-7.677166360095911,-31.906396068696324,17.815116706874218,3.601154173011903e-17,-13.65971367412245,-18.207164506593944,-9.112262841650956,0.3036301895350415,0.5474615501728374,7.202308346023806e-17
median_latency_ms,Median latency (ms),3000.0,324.4824689534938,1.8448230922397963,323.16276201416593,325.8021758928217,343.45971265252996,2.087241383302582,341.9665901145567,344.9528351905032,-5.525318690939151,-21.542877198851812,17.73243901190598,3.6600489047200966e-14,-9.220955635622033,-12.358078739675578,-6.083832531568488,0.46717982084883114,0.33045458939371747,3.6600489047200966e-14
p95_latency_ms,95th percentile latency (ms),250.0,777.105085825891,1.8029554095232259,775.8153292225314,778.3948424292506,812.9829724312801,2.7045114811822737,811.0482814659395,814.9176633966208,-4.413116611544013,-34.90530796612808,15.68015293711759,2.723513462363161e-16,-14.851380372999254,-19.781379972095028,-9.92138077390348,0.6482426258923291,0.8245564217151014,6.302793914816723e-16
p95_latency_ms,95th percentile latency (ms),500.0,779.2181536504687,1.7016150700630206,778.0008915587954,780.435415742142,820.8517188171296,1.8375798943376205,819.5371933494423,822.1662442848169,-5.071995856530098,-52.569502924728184,17.894671256182757,4.5948010153068065e-21,-22.510494867921516,-29.91598121988796,-15.10500851595507,0.05195549110194597,0.03966229922153391,2.756880609184084e-20
p95_latency_ms,95th percentile latency (ms),1000.0,782.7385941509699,1.7383326806163448,781.4950658630165,783.9821224389233,835.8028641158746,1.691898325641162,834.592552964427,837.0131752673223,-6.34889783741492,-69.1757753922037,17.986820851603973,2.7919375217162183e-23,-29.62820635527841,-39.34636461473417,-19.910048095822653,0.12604206399739343,0.2933765097521328,1.9543562652013529e-22
p95_latency_ms,95th percentile latency (ms),1500.0,786.337729337215,1.523781539618287,785.2476816896585,787.4277769847715,826.5283587139025,1.8061519246867208,825.2363154613457,827.8204019664594,-4.862583231775021,-53.78341938215184,17.503711778560383,6.907893923261872e-21,-23.007132798205934,-30.57373811715217,-15.440527479259696,0.08654195958491344,0.915239844159612,3.453946961630936e-20
p95_latency_ms,95th percentile latency (ms),2000.0,790.1322348884661,1.9965401565232845,788.7039960994495,791.5604736774827,821.5888312629697,1.9335856490734038,820.2056274156193,822.9720351103201,-3.828751703713848,-35.790236178000335,17.981553876062133,3.6270453357171906e-18,-15.32887184812385,-20.41244243685608,-10.24530125939162,0.4049631839596652,0.8354496793978848,1.4508181342868762e-17
p95_latency_ms,95th percentile latency (ms),2500.0,793.7936579987929,1.5691633332070742,792.6711461717873,794.9161698257985,818.8923465655237,2.0155887744644296,817.4504812161136,820.3342119149337,-3.064955811590611,-31.071701950214894,16.97864835009194,2.1009313049389078e-16,-13.272698442631388,-17.696162253827417,-8.849234631435358,0.10342056515438636,0.6407674599062565,6.302793914816723e-16
p95_latency_ms,95th percentile latency (ms),3000.0,797.5065823281816,1.7768286415837908,796.2355156886981,798.7776489676651,816.8737198111846,1.4485888242502605,815.8374617918453,817.909977830524,-2.370885121323236,-26.715123866845527,17.29803075857841,1.6547517829293231e-15,-11.421761907131097,-15.254449416767248,-7.589074397494946,0.03445601694060543,0.16509296581304872,1.6547517829293231e-15
p99_latency_ms,99th percentile latency (ms),250.0,812.679381182758,0.8292359964916097,812.0861814859883,813.2725808795277,877.015009781444,1.637103981256498,875.84389614266,878.1861234202279,-7.3357500021258115,-110.86185879574454,13.333006460230372,3.669855840129602e-21,-46.73675517234649,-62.029236703375894,-31.44427364131709,0.9228786719569299,0.4306540684720808,7.339711680259205e-21
p99_latency_ms,99th percentile latency (ms),500.0,813.8538687655748,0.5689305955328573,813.4468803350424,814.2608571961073,884.4301506928962,1.2541825243078537,883.5329625627849,885.3273388230075,-7.979859333383108,-162.05577439917,12.553517266237911,3.1646678208695474e-22,-68.05569022496566,-90.30448895384944,-45.806891496081874,0.3934060999257726,0.41951501667891417,1.265867128347819e-21
p99_latency_ms,99th percentile latency (ms),1000.0,816.9267883304626,0.7608975480574901,816.3824750147236,817.4711016462016,895.8441025106649,1.0076981525846527,895.1232386780796,896.5649663432503,-8.809268706355391,-197.63817809580104,16.745039850689444,1.2150784177147383e-29,-84.36770484630343,-111.94175722256644,-56.79365247004041,0.6143789403742816,0.6483515307584546,8.505548924003168e-29
p99_latency_ms,99th percentile latency (ms),1500.0,820.2031088235326,0.8648715506389851,819.5844169870054,820.8218006600598,875.4984711687584,1.1879210165045415,874.6486836658543,876.3482586716626,-6.3158719479439585,-118.99984116794585,16.448390959046897,1.3982937205156186e-25,-50.75428974046487,-67.35717867632151,-34.15140080460823,0.3440769054053343,0.9269526884975152,6.991468602578093e-25
p99_latency_ms,99th percentile latency (ms),2000.0,823.3943418930425,0.8582292768142149,822.7804016529672,824.0082821331177,863.9448968548561,0.9053234920933295,863.2972674426496,864.5925262670626,-4.693650614690325,-102.79418453235806,17.948874655655324,2.536877126833704e-26,-44.022911105937865,-58.43041733179324,-29.615404880082494,0.42119662095266663,0.28316767169124873,1.5221262761002224e-25
p99_latency_ms,99th percentile latency (ms),2500.0,827.6479340931689,1.1300716839392484,826.8395295098211,828.4563386765168,857.8704728126004,1.1834992979765049,857.0238484165815,858.7170972086193,-3.5229722524828615,-58.4046384427683,17.961725382656834,6.108744454921538e-22,-25.013328986689398,-33.231230236517256,-16.79542773686154,0.5654295858949048,0.37248506188769503,1.832623336476461e-21
p99_latency_ms,99th percentile latency (ms),3000.0,831.985601144673,1.3686237961852104,831.0065466603961,832.9646556289498,853.5032952708582,1.3187335697213682,852.5599301046227,854.4466604370937,-2.5211026419478113,-35.80226290806429,17.975236307893713,3.643817051392457e-18,-15.333781489518632,-20.418931880821173,-10.24863109821609,0.7109371414428778,0.26824140417667763,3.643817051392457e-18
coeff_variation,Latency coefficient of variation,250.0,0.5572415476274792,0.0020433685609771057,0.5557798098159409,0.5587032854390176,0.4969073141179116,0.001995845157950743,0.49547957250092345,0.4983350557348998,12.141949171480872,66.79622329897317,17.99004151377631,5.1896292555171055e-23,28.60926588621242,19.222556802478376,37.99597496994646,0.5569674244903615,0.9245474970047971,2.594814627758553e-22
coeff_variation,Latency coefficient of variation,500.0,0.5551443588459283,0.0017987448801968324,0.5538576142738001,0.5564311034180565,0.4870932384970903,0.0020961314445827107,0.4855937563923858,0.4885927206017948,13.970861217209135,77.91020576024387,17.59445218336093,8.647214887045537e-24,33.335861399463745,22.410926307377977,44.26079649154951,0.46557170621450183,0.7181071766926737,5.1883289322273224e-23
coeff_variation,Latency coefficient of variation,1000.0,0.5499698261842578,0.002128563292575336,0.5484471437331184,0.5514925086353972,0.4704619314139693,0.001981703556214067,0.4690443060894449,0.4718795567384937,16.899963516990255,86.45262682786694,17.90878141764932,6.246166521702824e-25,37.02071230550631,24.89555522850027,49.145869382512345,0.6370687811673108,0.7738602639831282,4.3723165651919765e-24
coeff_variation,Latency coefficient of variation,1500.0,0.5445387396230444,0.0024436950140673494,0.5427906255186453,0.5462868537274436,0.4839909492503235,0.002065478729652752,0.4825133947769309,0.4854685037237161,12.51010798166914,59.840328124918116,17.51399332194548,1.0531882238686094e-21,25.598811911889605,17.19071922212664,34.00690460165257,0.7313140934563903,0.40017029188706577,4.212752895474438e-21
coeff_variation,Latency coefficient of variation,2000.0,0.538914545378072,0.0024005847245115136,0.537197270517025,0.540631820239119,0.4931148773694197,0.002194295203531706,0.491545173141835,0.49468458159700446,9.287829288983557,44.531355773388306,17.85661092750295,9.414822959577732e-20,19.066694629761706,12.776865221387489,25.356524038135923,0.6771637608218946,0.9243707990064803,2.8244468878733195e-19
coeff_variation,Latency coefficient of variation,2500.0,0.5333207480452842,0.0020690974160429655,0.5318406049195917,0.5348008911709766,0.49906287231973023,0.00199013071562789,0.4976392185685215,0.500486526070939,6.864440860190107,37.735473628476306,17.972813801688844,1.4386418959716372e-18,16.16166034184089,10.809914478097676,21.513406205584104,0.6935242741933357,0.7811005255339669,2.8772837919432744e-18
coeff_variation,Latency coefficient of variation,3000.0,0.5270826109006898,0.0020958373760559808,0.5255833391599367,0.5285818826414428,0.5030596568566841,0.0019529961085765514,0.50166256760308,0.5044567461102881,4.775368828840421,26.518037953333923,17.91104954639711,7.973366167030272e-16,11.355609219116564,7.543955651844384,15.167262786388743,0.5140421081595204,0.8951950164563517,7.973366167030272e-16
mean_cpu_pct,Mean CPU utilization (%),250.0,10.655087160102886,0.09280080126786572,10.588701466036307,10.721472854169464,7.572658008493225,0.07203041378775143,7.521130554550233,7.624185462436218,40.704718847101205,82.97509346604447,16.956431039523697,1.4333464882449727e-23,35.44172287045748,23.830959580813655,47.05248616010131,0.5041312325203202,0.2296986417011091,1.0033425417714809e-22
mean_cpu_pct,Mean CPU utilization (%),500.0,16.46904026992935,0.15690588623151697,16.35679656062619,16.581283979232513,13.676011187273309,0.14429751234750368,13.572786965301134,13.779235409245484,20.422834146664005,41.43338566987091,17.875150314040454,3.2602684405921294e-19,17.741087619506114,11.879753671958731,23.602421567053497,0.12478441234276688,0.920059950516645,1.9561610643552775e-18
mean_cpu_pct,Mean CPU utilization (%),1000.0,27.781712405448758,0.24485524951313992,27.606553511746363,27.956871299151153,23.767326675934527,0.2012480256305604,23.623362510986745,23.91129084088231,16.89035449484933,40.052868200942484,17.349376623773207,1.5251742975848088e-18,17.12653631198631,11.463618694299464,22.789453929673158,0.5816109061764159,0.1283301605117788,7.625871487924045e-18
mean_cpu_pct,Mean CPU utilization (%),1500.0,38.79553149374782,0.4153743346756048,38.49839059487466,39.09267239262099,35.062866541213836,0.368575221747995,34.79920371096674,35.326529371460936,10.64563545637808,21.255602506628875,17.74878945773954,4.5165901287520095e-14,9.098375049250366,5.999679919454897,12.197070179045836,0.5541597733259372,0.4887799065233577,1.8066360515008038e-13
mean_cpu_pct,Mean CPU utilization (%),2000.0,49.457978719759794,0.457510530836888,49.13069540197132,49.785262037548264,46.0820171965906,0.5478955711577703,45.690076316012146,46.47395807716905,7.325984686753182,14.956262343046518,17.44505389716762,2.1910760881434766e-11,6.3969039815882205,4.130854715675488,8.662953247500953,0.9587233713092259,0.8959185073876099,6.573228264430429e-11
mean_cpu_pct,Mean CPU utilization (%),2500.0,59.98955126283276,0.6306917355254293,59.53838157428602,60.440720951379504,57.08043258717289,0.44790326508471234,56.760021893287735,57.40084328105805,5.0965252781101125,11.892399567859705,16.237365792670822,1.9767190899260356e-09,5.068943751131584,3.1953974762130106,6.942490026050157,0.6294337603882543,0.3896357567984856,3.953438179852071e-09
mean_cpu_pct,Mean CPU utilization (%),3000.0,70.3172494335935,0.8123128367360867,69.73615583602572,70.89834303116129,67.70913036299666,0.5876063591440874,67.28878209599065,68.12947863000267,3.851945899488603,8.226508810549074,16.394238705604106,3.235851564980441e-07,3.5080939138632123,2.0653243287593037,4.950863498967121,0.9509095816049257,0.6541590799746314,3.235851564980441e-07
peak_cpu_pct,Peak CPU utilization (%),250.0,16.5966796875,0.3524430162620818,16.344557141855788,16.848802233144212,10.654296875,0.21227602655550937,10.502443753431503,10.806149996568497,55.77451879010083,45.67319613373278,14.770381752951211,2.5761231535125342e-17,19.37065684085241,12.98248703229397,25.75882664941085,0.09013665199978221,0.9655648563348865,1.803286207458774e-16
peak_cpu_pct,Peak CPU utilization (%),500.0,22.82958984375,0.6413514275301574,22.370794670912158,23.288385016587842,17.15087890625,0.4673874443133947,16.816530070196432,17.485227742303568,33.11032028469751,22.628429183362567,16.45641339316778,7.866106016045884e-14,9.651420042635449,6.379043189009096,12.923796896261802,0.9199681789195214,0.22961522680754776,4.719663609627531e-13
peak_cpu_pct,Peak CPU utilization (%),1000.0,34.7509765625,0.8356602289139268,34.15318124670139,35.34877187829861,28.74755859375,0.900438080826784,28.103423994231587,29.391693193268413,20.883227176220807,15.453866642881806,17.90059152452067,8.543470076796542e-12,6.617512934948566,4.284841244532408,8.950184625364724,0.31283741304779844,0.5138468962331337,4.271735038398271e-11
peak_cpu_pct,Peak CPU utilization (%),1500.0,47.30712890625,1.4969556963252655,46.236271310951594,48.377986501548406,42.17041015625,0.9015259663161685,41.52549733033385,42.81532298216615,12.180860302205755,9.295610247735711,14.769510025027204,1.4731963917572896e-07,3.942388592856334,2.384547220403655,5.500229965309013,0.5324996651486318,0.8123300105026716,2.946392783514579e-07
peak_cpu_pct,Peak CPU utilization (%),2000.0,58.59619140625,1.0848595310192566,57.82012964872728,59.37225316377272,54.28955078125,0.8129919470168857,53.707971377452935,54.871130185047065,7.932724738049197,10.045707224941301,16.68497952647425,1.7321247109328994e-08,4.287560915981908,2.635286902677527,5.939834929286289,0.24296094015884112,0.06937589942978355,6.928498843731597e-08
peak_cpu_pct,Peak CPU utilization (%),2500.0,70.74462890625,0.9237316852796417,70.08383106592129,71.40542674657871,66.8896484375,0.9637148589772392,66.20024835774409,67.57904851725591,5.763194393751369,9.131983039771546,17.967776712438532,3.598872281810203e-08,3.9110719930910123,2.361677008539181,5.460466977642843,0.4137825190333385,0.30930755135222926,1.079661684543061e-07
peak_cpu_pct,Peak CPU utilization (%),3000.0,81.39892578125,0.9008204605730784,80.75451764373938,82.04333391876062,80.068359375,1.0246928429355215,79.33533827330736,80.80138047669264,1.6617880229296256,3.0839561368982826,17.709244055156212,0.006491801019965595,1.3199411145820454,0.3430906391626487,2.296791590001442,0.29699846484440634,0.9860867868198896,0.006491801019965595
mean_memory_gb,Mean memory (GB),250.0,8.000216015636486,6.589090183350667e-06,8.000211302085319,8.000220729187653,8.000720063613223,1.942680775606194e-05,8.000706166512133,8.000733960714312,-0.006300032656173316,-77.70075769289414,11.043669694538416,1.7749518985787678e-16,-32.33430641344912,-42.93315414609209,-21.735458680806147,0.25334965178261204,0.2327202948122834,1.0649711391472607e-15
