scheduler,rate,metric,rho,p,p_holm
adaptive,250.0,mean_throughput_proofs_s,-0.32121212121212117,0.36546831043867045,1.0
adaptive,250.0,mean_latency_ms,0.2727272727272727,0.4458383415427516,1.0
adaptive,250.0,median_latency_ms,0.3696969696969697,0.29305007529282234,1.0
adaptive,250.0,p95_latency_ms,0.406060606060606,0.24428229408662647,1.0
adaptive,250.0,p99_latency_ms,0.1515151515151515,0.6760651759978539,1.0
adaptive,250.0,coeff_variation,0.07878787878787878,0.8287173946974606,1.0
adaptive,250.0,mean_cpu_pct,0.0303030303030303,0.9337729580941466,1.0
adaptive,250.0,peak_cpu_pct,-0.10495626976502344,0.772920629445078,1.0
adaptive,250.0,mean_memory_gb,-0.2121212121212121,0.5563057751029299,1.0
adaptive,250.0,mean_buffer_occupancy_pct,-0.2121212121212121,0.5563057751029299,1.0
adaptive,250.0,mean_batch_size,0.0303030303030303,0.9337729580941466,1.0
adaptive,500.0,mean_throughput_proofs_s,-0.04255338805760452,0.9070828390046616,1.0
adaptive,500.0,mean_latency_ms,0.19999999999999998,0.5795840000000002,1.0
adaptive,500.0,median_latency_ms,0.309090909090909,0.38484123026128353,1.0
adaptive,500.0,p95_latency_ms,0.35757575757575755,0.31037609170568026,1.0
adaptive,500.0,p99_latency_ms,0.12727272727272726,0.7260570147627894,1.0
adaptive,500.0,coeff_variation,-0.006060606060606061,0.9867429111949892,1.0
adaptive,500.0,mean_cpu_pct,0.06666666666666665,0.8548130882487427,1.0
adaptive,500.0,peak_cpu_pct,-0.21276694028802262,0.5550759959985582,1.0
adaptive,500.0,mean_memory_gb,-0.4424242424242424,0.20042268671194213,1.0
adaptive,500.0,mean_buffer_occupancy_pct,-0.4424242424242424,0.20042268671194213,1.0
adaptive,500.0,mean_batch_size,-0.012158110873601292,0.9734080635074243,1.0
adaptive,1000.0,mean_throughput_proofs_s,0.12727272727272726,0.7260570147627894,1.0
adaptive,1000.0,mean_latency_ms,0.13939393939393938,0.7009318849100584,1.0
adaptive,1000.0,median_latency_ms,0.3939393939393939,0.25999776683488757,1.0
adaptive,1000.0,p95_latency_ms,0.04242424242424241,0.9073638178128159,1.0
adaptive,1000.0,p99_latency_ms,-0.04242424242424241,0.9073638178128159,1.0
adaptive,1000.0,coeff_variation,0.0303030303030303,0.9337729580941466,1.0
adaptive,1000.0,mean_cpu_pct,0.33333333333333326,0.3465935070873343,1.0
adaptive,1000.0,peak_cpu_pct,-0.23708316203522517,0.5095614092618308,1.0
adaptive,1000.0,mean_memory_gb,0.09090909090909088,0.8027717312071619,1.0
adaptive,1000.0,mean_buffer_occupancy_pct,0.09090909090909088,0.8027717312071619,1.0
adaptive,1000.0,mean_batch_size,-0.042683720332337284,0.9067992878615369,1.0
adaptive,1500.0,mean_throughput_proofs_s,0.04242424242424241,0.9073638178128159,1.0
adaptive,1500.0,mean_latency_ms,0.38181818181818183,0.2762553333854362,1.0
adaptive,1500.0,median_latency_ms,0.2727272727272727,0.4458383415427516,1.0
adaptive,1500.0,p95_latency_ms,0.35757575757575755,0.31037609170568026,1.0
adaptive,1500.0,p99_latency_ms,0.5272727272727272,0.11730806555020232,1.0
adaptive,1500.0,coeff_variation,-0.10303030303030303,0.7769984634438898,1.0
adaptive,1500.0,mean_cpu_pct,0.18787878787878787,0.6032176100292089,1.0
adaptive,1500.0,peak_cpu_pct,0.17629260766721871,0.6261234187474364,1.0
adaptive,1500.0,mean_memory_gb,0.07878787878787878,0.8287173946974606,1.0
adaptive,1500.0,mean_buffer_occupancy_pct,0.07878787878787878,0.8287173946974606,1.0
adaptive,1500.0,mean_batch_size,0.018293022999573125,0.9599974002377396,1.0
adaptive,2000.0,mean_throughput_proofs_s,0.006060606060606061,0.9867429111949892,1.0
adaptive,2000.0,mean_latency_ms,0.33333333333333326,0.3465935070873343,1.0
adaptive,2000.0,median_latency_ms,0.41818181818181815,0.22911284098281892,1.0
adaptive,2000.0,p95_latency_ms,0.2606060606060606,0.46708905438634024,1.0
adaptive,2000.0,p99_latency_ms,-0.09090909090909088,0.8027717312071619,1.0
adaptive,2000.0,coeff_variation,-0.33333333333333326,0.3465935070873343,1.0
adaptive,2000.0,mean_cpu_pct,0.2121212121212121,0.5563057751029299,1.0
adaptive,2000.0,peak_cpu_pct,0.38181818181818183,0.2762553333854362,1.0
adaptive,2000.0,mean_memory_gb,-0.6363636363636362,0.04791172612997544,1.0
adaptive,2000.0,mean_buffer_occupancy_pct,-0.6363636363636362,0.04791172612997544,1.0
adaptive,2000.0,mean_batch_size,-0.14589733048321551,0.6875567115411833,1.0
adaptive,2500.0,mean_throughput_proofs_s,0.17629260766721871,0.6261234187474364,1.0
adaptive,2500.0,mean_latency_ms,0.23636363636363633,0.5108853175152003,1.0
adaptive,2500.0,median_latency_ms,0.41818181818181815,0.22911284098281892,1.0
adaptive,2500.0,p95_latency_ms,0.32121212121212117,0.36546831043867045,1.0
adaptive,2500.0,p99_latency_ms,0.6363636363636362,0.04791172612997544,1.0
adaptive,2500.0,coeff_variation,-0.2606060606060606,0.46708905438634024,1.0
adaptive,2500.0,mean_cpu_pct,0.01818181818181818,0.9602404181286242,1.0
