rate,window_ms,mean_latency_ms
250,10,342.5586922151815
250,20,348.6771860148775
250,30,354.85551103806046
250,50,366.76992661436077
250,75,381.380862473311
250,100,394.81684136093696
250,150,425.2761074888
250,200,453.26381447416145
250,300,512.751358022358
250,500,567.7434008032776
500,10,343.646383995047
500,20,350.71249408206626
500,30,357.23918431237126
500,50,370.660308558809
500,75,387.31699742907455
500,100,403.56736005386864
500,150,438.2077967170779
500,200,465.33717295148773
500,300,469.438153259908
500,500,470.43344014513997
1000,10,346.2506356112998
1000,20,354.5400160944595
1000,30,362.91012041942673
1000,50,379.9930538123192
1000,75,401.2185405836283
1000,100,418.2503074778898
1000,150,421.00642955686163
1000,200,421.3487391273734
1000,300,421.72251698068004
1000,500,422.53307892736984
1500,10,348.950510026768
1500,20,358.8651269987141
1500,30,369.1534648471793
1500,50,389.6136071435635
1500,75,405.1900028322224
1500,100,405.7457865642306
1500,150,406.0811983286369
1500,200,406.32092013097997
1500,300,406.7657674419286
1500,500,407.1653979494207
2000,10,351.5360961058791
2000,20,363.26051949300415
2000,30,375.27072675050306
2000,50,396.25741799482546
2000,75,398.4626353687043
2000,100,398.82544232082114
2000,150,399.0542787928004
2000,200,399.3235737047368
2000,300,399.7366567254806
2000,500,399.89046668085825
2500,10,354.0673359934018
2500,20,367.684640493433
2500,30,381.37911480302546
2500,50,394.14919946137934
2500,75,394.6465457448623
2500,100,394.7955310399052
2500,150,395.20886671928395
2500,200,395.42723389493904
2500,300,395.67434075123555
2500,500,395.7233169119995
3000,10,356.31541882025397
3000,20,371.5227489433622
3000,30,386.19466542777167
3000,50,391.40663444001126
3000,75,391.8266610951192
3000,100,392.1915181217667
3000,150,392.43219988415836
3000,200,392.5926823011847
3000,300,392.8659490777178
3000,500,392.86620547122294
