rate,param,value,mean_latency_ms,served_rate,mean_batch_size
500,kp,0.4,350.74454238633416,495.0983374225836,10.962880780393657
500,kp,0.8,350.74454238633416,495.0983374225836,10.962880780393657
500,kp,1.2000000000000002,350.74454238633416,495.0983374225836,10.962880780393657
500,ki,0.1,350.74454238633416,495.0983374225836,10.962880780393657
500,ki,0.2,350.74454238633416,495.0983374225836,10.962880780393657
500,ki,0.30000000000000004,350.74454238633416,495.0983374225836,10.962880780393657
500,beta,0.625,350.74454238633416,495.0983374225836,10.962880780393657
500,beta,1.25,350.74454238633416,495.0983374225836,10.962880780393657
500,beta,1.875,350.74454238633416,495.0983374225836,10.962880780393657
1500,kp,0.4,359.03245129994474,1447.8252416848688,31.2605147941534
1500,kp,0.8,359.03245129994474,1447.8252416848688,31.2605147941534
1500,kp,1.2000000000000002,359.03245129994474,1447.8252416848688,31.2605147941534
1500,ki,0.1,359.03245129994474,1447.8252416848688,31.2605147941534
1500,ki,0.2,359.03245129994474,1447.8252416848688,31.2605147941534
1500,ki,0.30000000000000004,359.03245129994474,1447.8252416848688,31.2605147941534
1500,beta,0.625,359.03245129994474,1447.8252416848688,31.2605147941534
1500,beta,1.25,359.03245129994474,1447.8252416848688,31.2605147941534
1500,beta,1.875,359.03245129994474,1447.8252416848688,31.2605147941534
3000,kp,0.4,373.20248258575555,2808.947043516709,60.27868092869083
3000,kp,0.8,373.20248258575555,2808.947043516709,60.27868092869083
3000,kp,1.2000000000000002,373.20248258575555,2808.947043516709,60.27868092869083
3000,ki,0.1,373.20248258575555,2808.947043516709,60.27868092869083
3000,ki,0.2,373.20248258575555,2808.947043516709,60.27868092869083
3000,ki,0.30000000000000004,373.20248258575555,2808.947043516709,60.27868092869083
3000,beta,0.625,373.20248258575555,2808.947043516709,60.27868092869083
3000,beta,1.25,373.20248258575555,2808.947043516709,60.27868092869083
3000,beta,1.875,373.20248258575555,2808.947043516709,60.27868092869083
