metric,arrival_rate_txs,adaptive_mean,adaptive_std,fixed_mean,fixed_std,improvement_pct,p_value,significant
throughput_proofs_s,1000,987.3,23.4,834.6,31.2,18.3,<0.001,true
throughput_proofs_s,2500,2456.8,45.7,1987.3,58.9,23.6,<0.001,true
throughput_proofs_s,5000,4847.2,89.6,3778.4,112.3,28.3,<0.001,true
throughput_proofs_s,7500,7234.5,123.4,5456.7,156.8,32.6,<0.001,true
throughput_proofs_s,10000,9234.8,156.2,6882.3,198.7,34.2,<0.001,true
mean_latency_ms,5000,127.4,18.3,195.2,34.7,34.7,<0.001,true
median_latency_ms,5000,119.8,15.6,178.4,29.3,32.8,<0.001,true
p95_latency_ms,5000,168.9,22.4,287.4,45.8,41.2,<0.001,true
p99_latency_ms,5000,198.3,28.7,356.7,62.4,44.4,<0.001,true
coeff_variation,5000,0.144,0.012,0.178,0.019,19.1,<0.001,true
mean_cpu_pct,5000,67.3,4.2,82.8,6.7,18.7,<0.001,true
peak_cpu_pct,5000,89.4,3.8,97.2,2.1,8.0,<0.001,true
mean_memory_gb,5000,12.4,1.8,15.3,2.4,19.0,<0.001,true
mean_buffer_occupancy_pct,5000,34.2,8.7,56.8,14.3,39.8,<0.001,true
max_buffer_occupancy_pct,5000,67.4,11.2,94.2,5.8,28.5,<0.001,true
