rate,window_ms,mean_latency_ms
250,10,341.72103582329595
250,20,347.80589810621245
250,30,353.94297864812165
250,50,365.2999886579731
250,75,379.77233158234804
250,100,392.7175153963803
250,150,424.6334211520622
250,200,451.617690053306
250,300,511.8129718353645
250,500,567.3730011988496
500,10,342.8878712738092
500,20,349.5214239859533
500,30,355.85815159667027
500,50,369.2530324732085
500,75,386.5202634711593
500,100,402.8273627667426
500,150,437.9759755725424
500,200,465.4732567620563
500,300,469.42453154103373
500,500,470.7167875550033
1000,10,345.41735098690924
1000,20,353.4644593798636
1000,30,362.1160096922669
1000,50,379.1702296931556
1000,75,401.01690217601055
1000,100,418.47368818542844
1000,150,421.35590664612533
1000,200,421.73844320661374
1000,300,422.36325461787106
1000,500,423.29071813334434
1500,10,348.29152165455633
1500,20,358.3525372623437
1500,30,368.75372395025107
1500,50,389.9648929056203
1500,75,405.5481520519831
1500,100,406.2917232090001
1500,150,406.7658498419005
1500,200,407.00933956383795
1500,300,407.6364730412732
1500,500,408.2211074949177
2000,10,351.1130773079799
2000,20,363.4258409334957
2000,30,375.29692674335547
2000,50,396.93957035679796
2000,75,399.2702337141225
2000,100,399.7303324450645
2000,150,400.11447701282776
2000,200,400.4030995319783
2000,300,401.1268815563874
2000,500,401.3259893281891
2500,10,354.21481226226496
2500,20,367.8982278143872
2500,30,382.3613074653429
2500,50,395.23079494951935
2500,75,395.8614311275707
2500,100,396.1523331627447
2500,150,396.6599078616876
2500,200,397.0038362960707
2500,300,397.3666155099845
2500,500,397.45410080264793
3000,10,356.5748323876685
3000,20,372.09497302778124
3000,30,387.32672318562163
3000,50,392.56335106039637
3000,75,393.2331901417528
3000,100,393.59985626133556
3000,150,394.1328132941247
3000,200,394.25860873624634
3000,300,394.71075548640994
3000,500,394.7284483462197
