rate,l_target_ms,mean_latency_ms,window_mean_ms,window_min_ms,window_max_ms,mean_batch_size,frac_trials_hitting_w_min
250,100,347.8269266758728,21.447376264720067,20.0,125.0,5.858656490823859,1.0
250,150,347.8269266758728,21.447376264720067,20.0,125.0,5.858656490823859,1.0
250,200,347.8269266758728,21.447376264720067,20.0,125.0,5.858656490823859,1.0
250,300,347.7285274367493,24.118764929138155,20.0,125.0,5.987447757229352,1.0
250,400,361.2167029454704,54.632177370560036,32.083333333333336,156.25,10.096514280705277,0.6666666666666666
250,500,429.40397700290623,166.4193494229337,106.19149487052265,235.18880208333334,40.059498423074075,0.0
250,700,567.1827943271288,478.91239507417794,125.0,492.279052734375,94.33962264150944,0.0
250,1000,567.663831825624,486.1844893560398,125.0,500.0,94.33962264150944,0.0
500,100,349.6642474088986,22.857162936224324,20.0,125.0,11.032291788256147,1.0
500,150,349.6642474088986,22.857162936224324,20.0,125.0,11.032291788256147,1.0
500,200,349.6642474088986,22.857162936224324,20.0,125.0,11.032291788256147,1.0
500,300,349.5302384850736,26.550508103301784,20.0,125.0,11.372893771642202,1.0
500,400,358.9461458931355,47.852292266828535,26.57827729009793,145.83333333333334,16.27899092902794,0.6666666666666666
500,500,442.89709320882935,165.5074377126641,98.4375,195.3125,76.64252766480637,0.0
500,700,470.8047326228878,472.97465895821375,125.0,500.0,96.77419354838712,0.0
500,1000,470.8047326228878,472.97465895821375,125.0,500.0,96.77419354838712,0.0
1000,100,353.3973973303485,25.581445349243463,20.0,125.0,21.42865901761299,1.0
1000,150,353.3973973303485,25.581445349243463,20.0,125.0,21.42865901761299,1.0
1000,200,353.3973973303485,25.581445349243463,20.0,125.0,21.42865901761299,1.0
1000,300,355.75185455741683,34.87892714128302,20.0,125.0,23.172611688164547,1.0
1000,400,412.348110047298,127.46983166994244,60.22544045221684,145.83333333333334,76.72311826658078,0.3333333333333333
1000,500,421.51021432868566,182.02344434161293,125.0,185.546875,97.61480349715644,0.0
1000,700,423.08436162618295,447.0262827363404,125.0,500.0,98.6842105263158,0.0
1000,1000,423.08436162618295,447.0262827363404,125.0,500.0,98.6842105263158,0.0
1500,100,358.57545190618043,28.173531787238954,20.0,125.0,31.915278895084157,1.0
1500,150,358.57545190618043,28.173531787238954,20.0,125.0,31.915278895084157,1.0
1500,200,358.57545190618043,28.173531787238954,20.0,125.0,31.915278895084157,1.0
1500,300,364.13148589451015,40.02596053997923,20.0,125.0,34.82775989509938,1.0
1500,400,406.02625943719994,133.82585195538715,104.54321452548794,148.4375,96.18506493506493,0.0
1500,500,407.18566186639606,205.96520521859782,125.0,214.84375,98.46921224630204,0.0
1500,700,407.92569837681566,424.3445664401322,125.0,500.0,98.6842105263158,0.0
1500,1000,407.92569837681566,424.3445664401322,125.0,500.0,98.6842105263158,0.0
2000,100,364.9235562184908,30.688608090900185,20.0,125.0,42.09571152404624,1.0
2000,150,364.9235562184908,30.688608090900185,20.0,125.0,42.09571152404624,1.0
2000,200,366.70126782014427,35.22088353413655,20.0,125.0,43.20324256006705,1.0
2000,300,369.1930975913404,41.74698795180723,20.0,125.0,45.05789337635597,1.0
2000,400,400.2346393367398,154.40447012138188,125.0,156.25,98.03921568627452,0.0
2000,500,400.32223621518546,165.71289974323062,125.0,169.27083333333334,98.25421396628828,0.0
2000,700,402.60625570994915,400.51476543579673,125.0,500.0,99.33774834437087,0.0
2000,1000,402.60625570994915,400.51476543579673,125.0,500.0,99.33774834437087,0.0
2500,100,370.7751958727194,33.00556043312847,20.0,125.0,51.904352806414664,1.0
2500,150,370.7751958727194,33.00556043312847,20.0,125.0,51.904352806414664,1.0
2500,200,372.34003401121987,38.74926836406204,20.0,125.0,53.462664650887994,1.0
2500,300,377.80498274867887,54.885125608452476,20.0,125.0,58.95211315736915,1.0
2500,400,396.8145614936411,153.9629749801716,125.0,156.25,98.6842105263158,0.0
2500,500,397.11966002278376,213.28743156569692,125.0,231.93359375,98.90205646566748,0.0
2500,700,398.8154831995136,380.2388959407487,125.0,500.0,99.33774834437087,0.0
2500,1000,398.8154831995136,380.2388959407487,125.0,500.0,99.33774834437087,0.0
3000,100,375.59215618830694,35.261141359144986,20.0,125.0,61.22653819130784,1.0
3000,150,375.59215618830694,35.261141359144986,20.0,125.0,61.22653819130784,1.0
3000,200,376.28189401529545,38.712442024601735,20.0,125.0,62.01792787158641,1.0
3000,300,382.17034575007955,61.258575149635185,20.0,125.0,69.45032956685499,1.0
3000,400,393.9756207735977,134.53389830508476,125.0,135.41666666666666,98.46921224630204,0.0
3000,500,393.9756207735977,134.53389830508476,125.0,135.41666666666666,98.46921224630204,0.0
3000,700,394.1309674547318,136.73346280602638,125.0,158.85416666666666,98.46921224630204,0.0
3000,1000,394.18063686479417,137.45185361062408,125.0,169.27083333333334,98.6842105263158,0.0
