scheduler,arrival_rate_txs,workload,trial_id,window_ms_setting,l_target_ms,offered,admitted,dropped,verified,verified_recorded,drop_fraction,served_rate_proofs_s,served_fraction,mean_throughput_proofs_s,std_throughput,mean_latency_ms,median_latency_ms,p95_latency_ms,p99_latency_ms,std_latency_ms,coeff_variation,mean_cpu_pct,peak_cpu_pct,mean_memory_gb,mean_buffer_occupancy_pct,max_buffer_occupancy_pct,mean_batch_size,final_tx_queue,final_buffer,idc,sim_seconds
adaptive,250.0,poisson,1,100.0,150.0,30000,30000,0,30000,27081,0.0,250.78628113900612,1.0031451245560246,251.99065420560748,15.820034662976841,347.60190571255595,300.9431494730279,776.4508926444051,812.7636301492885,193.81562255338073,0.557579286442847,10.703825774016204,16.552734375,8.00021814814815,0.021814814814814815,0.11,5.852516582130316,0,0,1.0713123451635351,107.98437568835558
fixed,250.0,poisson,1,100.0,150.0,30000,30000,0,30000,27093,0.0,250.86934267130425,1.003477370685217,252.18691588785046,18.526946637783396,393.4052478209548,348.9251294480056,810.8756810585489,875.7877894039189,196.07877143269155,0.4984142243113397,7.64537669994213,11.03515625,8.00069888888889,0.06988888888888888,0.38,25.48853016142736,0,5,1.0713123451635351,107.99645628879402
adaptive_batch,250.0,poisson,1,500.0,150.0,30000,30000,0,30000,27138,0.0,236.10820632646545,0.9444328253058618,236.2017543859649,6.605414545633821,4348.752258508155,4304.29159831742,7328.431348813452,7724.702308031191,2099.0331982516095,0.48267481647061805,30.16370159646739,32.91015625,8.094731391304348,9.473139130434785,17.599999999999998,1.0206859009254219,0,0,1.0713123451635351,114.93882581309539
adaptive,500.0,poisson,1,100.0,150.0,30000,30000,0,30000,27149,0.0,499.3586395870002,0.9987172791740004,502.35185185185185,24.326518961985222,348.875865299962,302.0603221023066,779.3241722246108,814.0185561099119,193.92037660509692,0.5558434844392718,16.541335161994486,23.5107421875,8.000476102941176,0.047610294117647056,0.18,10.980966325036603,0,1,1.0750945140629353,54.36773863060398
fixed,500.0,poisson,1,100.0,150.0,30000,30000,0,30000,27168,0.0,499.2252309180336,0.9984504618360672,502.7037037037037,24.982733380393647,400.8224121518214,354.7627943105489,818.0302800765335,883.522598425807,195.83659096778834,0.4885869278527528,13.752956565366972,17.2607421875,8.000506605504587,0.05066055045871559,0.53,49.66887417218543,0,0,1.0750945140629353,54.42032637260803
adaptive_batch,500.0,poisson,1,500.0,150.0,30000,30000,5132,24868,22732,0.17106666666666667,235.6113923481377,0.47122278469627543,235.65625,6.107507244108852,26443.208039002202,27415.087651499467,42999.39946725753,43289.43777737747,13405.666676513667,0.5069606780214067,31.170711220854923,39.1357421875,8.61450279792746,61.45027979274612,100.0,1.0520348591251374,0,11,1.0750945140629353,96.48090346332387
adaptive,1000.0,poisson,1,100.0,150.0,30000,30000,0,30000,27275,0.0,989.6505018941206,0.9896505018941205,1005.6296296296297,33.08281932473311,352.4450533402085,304.6884773450529,782.0691803289494,817.0357055979823,194.22389598395998,0.5510756758911844,27.82495471014493,34.27734375,8.00096884057971,0.0968840579710145,0.29,21.246458923512748,0,0,1.1206651059085844,27.56023459574627
fixed,1000.0,poisson,1,100.0,150.0,30000,30000,0,30000,27368,0.0,989.8841623482411,0.9898841623482412,1009.5185185185185,60.08223234763039,415.26349794356315,370.02926517176894,833.9816721490517,894.4869400185447,195.95810880856865,0.47188859550376505,23.86620036101083,28.173828125,8.004409386281587,0.4409386281588447,0.9900000000000001,94.04388714733543,0,0,1.1206651059085844,27.64767943662881
adaptive_batch,1000.0,poisson,1,500.0,150.0,30000,30000,10900,19100,16472,0.36333333333333334,235.85459991132774,0.23585459991132773,236.08695652173913,7.383883743019983,25933.817664543363,26934.14934388666,42954.67012047985,43237.3541896791,13881.841057652524,0.5352795040520292,33.54121959942775,50.048828125,8.603206151645207,60.32061516452073,100.0,1.1421395682592836,0,0,1.1206651059085844,69.83963851539397
adaptive,1500.0,poisson,1,100.0,150.0,30000,30000,0,30000,27482,0.0,1473.1063035474851,0.9820708690316567,1511.611111111111,45.97075654713918,355.74979993954184,308.8402239252197,785.7622933249935,818.6348723177406,194.33325362259578,0.5462638451395387,38.827106659425134,48.6083984375,8.00137486631016,0.13748663101604278,0.38,31.47953830010493,0,0,1.1362778894472365,18.655815899924377
fixed,1500.0,poisson,1,100.0,150.0,30000,30000,0,30000,27587,0.0,1471.0246554078467,0.9806831036052311,1516.6666666666667,70.71067811865476,401.94874490144423,355.36387616431233,824.9698313333287,873.9434026619982,195.69693494731544,0.4868703719806348,35.246244389960104,41.9189453125,8.004653723404255,0.46537234042553194,0.9900000000000001,98.03921568627452,0,0,1.1362778894472365,18.753594576802936
adaptive_batch,1500.0,poisson,1,500.0,150.0,30000,30000,12064,17936,15432,0.40213333333333334,252.9675987151885,0.16864506581012567,252.95081967213116,126.8305202792961,23003.685545669894,23472.910417449297,42847.99872381418,43169.40095084058,14716.233111555957,0.6397337105977817,34.796512185454176,61.8408203125,8.572514075286415,57.25140752864157,100.0,1.2406446704018814,0,0,1.1362778894472365,61.00386009266982
adaptive,2000.0,poisson,1,100.0,150.0,30000,30000,0,30000,27678,0.0,1956.590166339984,0.978295083169992,1975.0714285714287,172.78197212125428,359.4836088128099,312.0199798440426,789.1388762855788,823.2552495923277,194.89352019838995,0.5421485581554701,49.408732669454224,56.884765625,8.001945070422535,0.19450704225352114,0.49,41.72461752433936,0,1,1.0994288590604029,14.146038591093774
fixed,2000.0,poisson,1,100.0,150.0,30000,30000,0,30000,27649,0.0,1931.2869351094623,0.9656434675547312,1973.4285714285713,170.36147735633477,394.64590615423975,348.3668124404513,819.1960653004201,862.8464864866561,195.16766270966997,0.4945386729373355,46.16173638237847,55.2490234375,8.004019444444445,0.40194444444444444,0.9900000000000001,98.36065573770492,0,0,1.0994288590604029,14.316360504159315
adaptive_batch,2000.0,poisson,1,500.0,150.0,30000,30000,12259,17741,15365,0.40863333333333335,271.7872588707166,0.1358936294353583,272.10714285714283,223.2009839153475,20750.40785620392,20435.05049615394,42724.98496543173,43092.05377800835,15057.904095734175,0.725667861570836,35.57935519268993,73.9990234375,8.554177208480565,55.417720848056526,100.0,1.3300097458580102,0,0,1.0994288590604029,56.53318725771764
adaptive,2500.0,poisson,1,100.0,150.0,30000,30000,0,30000,27819,0.0,2427.1224757223904,0.9708489902889561,2511.0,84.303024856763,363.6354772712319,316.76051384107495,792.8465886727695,825.5240166802657,194.6931508115491,0.5354074697896694,60.28978430706522,69.43359375,8.002640869565218,0.26408695652173914,0.61,51.63511187607573,0,2,1.2106529411764706,11.461720732374728
fixed,2500.0,poisson,1,100.0,150.0,30000,30000,0,30000,27817,0.0,2411.208121091524,0.9644832484366096,2509.090909090909,94.38798074485389,390.21963982744643,342.4234054148498,816.6932359171315,856.4846466937239,195.49393823479306,0.5009843643985723,57.183837890625,66.5771484375,8.004594827586207,0.45948275862068955,0.97,98.6842105263158,0,0,1.2106529411764706,11.536540440734576
adaptive_batch,2500.0,poisson,1,500.0,150.0,30000,30000,11950,18050,15809,0.3983333333333333,293.7000100004623,0.11748000400018493,294.811320754717,336.1811014115739,18727.86377340918,17566.74615860613,42604.998595599325,43041.821980016655,15201.60503982791,0.8117105732802243,36.054406670338594,84.47265625,8.539426159554731,53.942615955473094,100.0,1.4246250986582478,0,0,1.2106529411764706,53.82703255602584
adaptive,3000.0,poisson,1,100.0,150.0,30000,30000,0,30000,27975,0.0,2894.8509556385134,0.9649503185461711,3027.1111111111113,100.89653666559181,368.57184612686996,321.4399384211779,796.2924584517006,830.5381456900185,194.97864137456705,0.529011218364876,70.83702480670104,81.4208984375,8.003023711340205,0.3023711340206186,0.67,61.34969325153374,0,2,1.066188888888889,9.663709955606192
fixed,3000.0,poisson,1,100.0,150.0,30000,30000,0,30000,28010,0.0,2848.1741233297034,0.9493913744432345,3022.222222222222,97.182531580755,387.69141877796017,339.5463952606491,815.9133292156674,853.3453558242996,195.91164440400334,0.5053288128520752,66.94385258838383,79.541015625,8.005523232323233,0.5523232323232324,0.9900000000000001,98.6842105263158,0,0,1.066188888888889,9.834370648397881
adaptive_batch,3000.0,poisson,1,500.0,150.0,30000,30000,11606,18394,16288,0.3868666666666667,313.16681109042617,0.10438893703014206,313.2307692307692,423.826065664503,17271.44739246929,15125.233554218445,42545.45240328632,42975.18404185811,15174.17775828237,0.8785701286910458,36.46701805422265,94.43359375,8.52938848368522,52.93884836852207,100.0,1.5054837125552463,0,0,1.066188888888889,52.010619973701104
adaptive,250.0,poisson,2,100.0,150.0,30000,30000,0,30000,27073,0.0,248.42277103787492,0.9936910841514996,249.52777777777777,16.780305731307077,346.22271968528037,300.9728602447197,773.4908873966646,811.9732332328048,192.709503201321,0.5566055958906906,10.637475809919724,16.552734375,8.000222110091743,0.022211009174311926,0.13,5.84339696143358,0,0,1.0210787576261784,108.97954276450933
fixed,250.0,poisson,2,100.0,150.0,30000,30000,0,30000,27099,0.0,248.64663810894518,0.9945865524357808,249.84259259259258,19.094532190414764,392.10104286198,348.2349270286065,807.4731048560578,875.7258158188197,194.75110617013434,0.496686019370489,7.506741864965597,10.44921875,8.000725779816513,0.07257798165137615,0.38999999999999996,25.402201524132092,0,3,1.0210787576261784,108.98598994178438
adaptive_batch,250.0,poisson,2,500.0,150.0,30000,30000,0,30000,27203,0.0,236.3750727281179,0.9455002909124717,236.42608695652174,6.052490961123156,3836.820393618085,3829.8257366283933,6505.122501139497,6862.411056415317,1717.2308183032533,0.44756612041563953,30.132361974641615,32.32421875,8.082788966116421,8.27889661164205,15.540000000000001,1.0215895934073418,0,7,1.0210787576261784,115.08404708684867
adaptive,500.0,poisson,2,100.0,150.0,30000,30000,0,30000,27154,0.0,494.73848481433146,0.9894769696286629,498.72222222222223,26.48774488194149,347.9264551499872,302.96232051218124,775.8340015695305,813.5313600514036,192.99853080514487,0.5547107095433297,16.414565901070127,22.4853515625,8.000442987249544,0.044298724954462666,0.19,10.984987184181618,0,0,0.9858842076047738,54.885562440509396
fixed,500.0,poisson,2,100.0,150.0,30000,30000,0,30000,27191,0.0,494.9786375859886,0.9899572751719773,499.537037037037,28.48350264856269,399.7452971403902,355.627146131269,818.2581476663024,882.1705117577058,195.05411854804433,0.4879459994736135,13.515403053977273,16.0888671875,8.000620181818181,0.06201818181818181,0.64,49.586776859504134,0,0,0.9858842076047738,54.93368387090509
adaptive_batch,500.0,poisson,2,500.0,150.0,30000,30000,4997,25003,22879,0.16656666666666667,236.0722057554255,0.472144411510851,236.0,6.304551405219299,26281.590027354207,27240.306170697422,42785.559869623576,43084.220026212206,13316.571484500566,0.5066881977323485,31.09442956668814,38.330078125,8.611512268041237,61.1512268041237,100.0,1.0543116171199662,0,0,0.9858842076047738,96.91526339065516
adaptive,1000.0,poisson,2,100.0,150.0,30000,30000,0,30000,27315,0.0,981.8986798976864,0.9818986798976864,997.4074074074074,34.05003022619155,350.97380661212554,305.8701946962543,779.685932640617,815.8152340887899,193.13159926491792,0.5502735407213877,27.346375168010752,35.2783203125,8.000918637992832,0.09186379928315411,0.29,21.171489061397317,0,0,0.9726130000000002,27.818552524020316
