arrival_rate_txs,scheduler_type,trial_id,mean_latency_ms,median_latency_ms,p95_latency_ms,p99_latency_ms,std_latency_ms,coeff_variation
5000,adaptive,1,128.3,120.5,169.8,199.1,18.1,0.141
5000,adaptive,2,126.5,118.9,167.4,196.8,18.5,0.146
5000,adaptive,3,127.8,120.1,169.2,198.5,18.2,0.142
5000,adaptive,4,125.9,118.2,166.8,195.9,18.7,0.149
5000,adaptive,5,128.9,121.2,170.5,200.2,17.9,0.139
5000,adaptive,6,126.9,119.3,168.1,197.5,18.4,0.145
5000,adaptive,7,128.1,120.3,169.5,198.8,18.1,0.141
5000,adaptive,8,125.4,117.8,166.2,195.2,18.9,0.151
5000,adaptive,9,127.5,119.8,168.7,198.1,18.3,0.143
5000,adaptive,10,127.1,119.5,168.3,197.7,18.3,0.144
5000,adaptive,11,128.6,121.0,170.2,199.8,18.0,0.140
5000,adaptive,12,125.7,118.0,166.5,195.5,18.8,0.150
5000,adaptive,13,127.6,119.9,168.9,198.2,18.2,0.143
5000,adaptive,14,128.4,120.6,169.9,199.3,18.1,0.141
5000,adaptive,15,126.2,118.5,167.1,196.4,18.6,0.147
5000,adaptive,16,127.4,119.7,168.5,198.0,18.3,0.144
5000,adaptive,17,125.1,117.5,165.9,194.8,19.0,0.152
5000,adaptive,18,128.7,121.1,170.3,199.9,17.9,0.139
5000,adaptive,19,126.7,119.1,167.8,197.1,18.5,0.146
5000,adaptive,20,127.9,120.2,169.3,198.6,18.2,0.142
5000,adaptive,21,125.6,117.9,166.4,195.4,18.8,0.150
5000,adaptive,22,128.8,121.2,170.4,200.1,17.9,0.139
5000,adaptive,23,127.2,119.6,168.4,197.8,18.3,0.144
5000,adaptive,24,125.3,117.6,166.1,195.0,18.9,0.151
5000,adaptive,25,128.2,120.4,169.6,199.0,18.1,0.141
5000,adaptive,26,126.4,118.7,167.3,196.6,18.6,0.147
5000,adaptive,27,129.0,121.4,170.7,200.4,17.8,0.138
5000,adaptive,28,127.0,119.4,168.2,197.6,18.4,0.145
5000,adaptive,29,127.7,120.0,169.0,198.4,18.2,0.143
5000,adaptive,30,125.8,118.1,166.6,195.6,18.8,0.149
5000,fixed,1,196.1,179.2,288.3,357.5,34.5,0.176
5000,fixed,2,193.8,176.8,285.1,354.2,35.1,0.181
5000,fixed,3,195.5,178.5,287.5,356.6,34.6,0.177
5000,fixed,4,192.9,175.9,283.8,352.8,35.4,0.184
5000,fixed,5,197.2,180.3,289.9,359.1,34.2,0.173
5000,fixed,6,194.5,177.5,286.2,355.3,34.9,0.179
5000,fixed,7,195.8,178.8,287.8,356.9,34.5,0.176
5000,fixed,8,193.2,176.2,284.2,353.3,35.3,0.183
5000,fixed,9,195.1,178.1,287.1,356.2,34.7,0.178
5000,fixed,10,194.7,177.7,286.5,355.6,34.8,0.179
5000,fixed,11,196.8,179.9,289.4,358.6,34.3,0.174
5000,fixed,12,193.5,176.5,284.6,353.8,35.2,0.182
5000,fixed,13,195.3,178.3,287.3,356.4,34.6,0.177
5000,fixed,14,196.4,179.5,288.7,358.0,34.4,0.175
5000,fixed,15,194.1,177.1,285.6,354.7,35.0,0.180
5000,fixed,16,194.9,177.9,286.8,355.9,34.8,0.179
5000,fixed,17,192.5,175.5,283.2,352.2,35.6,0.185
5000,fixed,18,196.9,180.1,289.6,358.8,34.2,0.174
5000,fixed,19,194.3,177.3,285.9,355.0,35.0,0.180
5000,fixed,20,195.6,178.6,287.6,356.7,34.6,0.177
5000,fixed,21,193.3,176.3,284.4,353.5,35.3,0.183
5000,fixed,22,196.6,179.7,289.1,358.3,34.3,0.174
5000,fixed,23,194.8,177.8,286.6,355.7,34.8,0.179
5000,fixed,24,192.7,175.7,283.5,352.5,35.5,0.184
5000,fixed,25,196.2,179.3,288.5,357.7,34.4,0.175
5000,fixed,26,193.9,176.9,285.3,354.4,35.1,0.181
5000,fixed,27,197.4,180.5,290.2,359.4,34.1,0.173
5000,fixed,28,194.6,177.6,286.3,355.4,34.9,0.179
5000,fixed,29,195.2,178.2,287.2,356.3,34.7,0.178
5000,fixed,30,193.6,176.6,284.9,354.0,35.2,0.182
