arrival_rate_txs,scheduler_type,trial_id,mean_cpu_pct,peak_cpu_pct,mean_memory_gb,mean_buffer_occupancy_pct,max_buffer_occupancy_pct
5000,adaptive,1,67.8,89.9,12.6,34.8,68.2
5000,adaptive,2,66.9,88.9,12.2,33.5,66.5
5000,adaptive,3,67.5,89.6,12.5,34.4,67.8
5000,adaptive,4,66.5,88.5,12.1,33.1,65.9
5000,adaptive,5,68.1,90.2,12.7,35.1,68.9
5000,adaptive,6,67.1,89.1,12.3,33.8,66.9
5000,adaptive,7,67.6,89.7,12.5,34.5,67.9
5000,adaptive,8,66.3,88.3,12.0,32.8,65.5
5000,adaptive,9,67.3,89.4,12.4,34.1,67.3
5000,adaptive,10,67.2,89.2,12.4,33.9,67.1
5000,adaptive,11,68.0,90.1,12.7,35.0,68.7
5000,adaptive,12,66.6,88.6,12.1,33.2,66.1
5000,adaptive,13,67.4,89.5,12.4,34.3,67.5
5000,adaptive,14,67.9,90.0,12.6,34.9,68.4
5000,adaptive,15,66.8,88.8,12.2,33.4,66.4
5000,adaptive,16,67.3,89.3,12.4,34.0,67.2
5000,adaptive,17,66.1,88.1,11.9,32.5,65.1
5000,adaptive,18,68.0,90.1,12.7,35.0,68.6
5000,adaptive,19,67.0,89.0,12.3,33.7,66.8
5000,adaptive,20,67.5,89.6,12.5,34.4,67.7
5000,adaptive,21,66.4,88.4,12.0,32.9,65.7
5000,adaptive,22,68.1,90.2,12.7,35.1,68.8
5000,adaptive,23,67.2,89.2,12.3,33.9,67.0
5000,adaptive,24,66.2,88.2,11.9,32.6,65.3
5000,adaptive,25,67.7,89.8,12.6,34.6,68.0
5000,adaptive,26,66.7,88.7,12.2,33.3,66.2
5000,adaptive,27,68.2,90.3,12.8,35.3,69.1
5000,adaptive,28,67.1,89.1,12.3,33.8,66.9
5000,adaptive,29,67.4,89.4,12.4,34.2,67.4
5000,adaptive,30,66.5,88.5,12.1,33.0,65.8
5000,fixed,1,83.2,97.5,15.5,57.3,94.6
5000,fixed,2,82.3,96.8,15.1,56.2,93.7
5000,fixed,3,82.9,97.3,15.4,57.0,94.3
5000,fixed,4,81.9,96.4,14.9,55.8,93.2
5000,fixed,5,83.6,97.8,15.7,57.8,95.1
5000,fixed,6,82.5,97.0,15.2,56.5,93.9
5000,fixed,7,83.0,97.4,15.4,57.1,94.4
5000,fixed,8,82.1,96.6,15.0,56.0,93.4
5000,fixed,9,82.8,97.2,15.3,56.8,94.1
5000,fixed,10,82.6,97.1,15.3,56.6,94.0
5000,fixed,11,83.4,97.7,15.6,57.6,94.9
5000,fixed,12,82.2,96.7,15.0,56.1,93.5
5000,fixed,13,82.9,97.3,15.4,56.9,94.2
5000,fixed,14,83.3,97.6,15.6,57.4,94.8
5000,fixed,15,82.4,96.9,15.2,56.3,93.8
5000,fixed,16,82.7,97.1,15.3,56.7,94.0
5000,fixed,17,81.7,96.2,14.8,55.5,92.9
5000,fixed,18,83.5,97.7,15.6,57.7,95.0
5000,fixed,19,82.5,97.0,15.2,56.4,93.9
5000,fixed,20,83.0,97.4,15.4,57.0,94.3
5000,fixed,21,82.0,96.5,15.0,55.9,93.3
5000,fixed,22,83.4,97.6,15.5,57.5,94.8
5000,fixed,23,82.6,97.0,15.3,56.6,93.9
5000,fixed,24,81.8,96.3,14.9,55.6,93.0
5000,fixed,25,83.1,97.5,15.5,57.2,94.5
5000,fixed,26,82.3,96.8,15.1,56.2,93.6
5000,fixed,27,83.7,97.9,15.8,58.0,95.3
5000,fixed,28,82.5,97.0,15.2,56.5,93.9
5000,fixed,29,82.8,97.2,15.3,56.8,94.1
5000,fixed,30,82.1,96.6,15.0,56.0,93.4
