scheduler,arrival_rate_txs,workload,trial_id,window_ms_setting,l_target_ms,offered,admitted,dropped,verified,verified_recorded,drop_fraction,served_rate_proofs_s,served_fraction,mean_throughput_proofs_s,std_throughput,mean_latency_ms,median_latency_ms,p95_latency_ms,p99_latency_ms,std_latency_ms,coeff_variation,mean_cpu_pct,peak_cpu_pct,mean_memory_gb,mean_buffer_occupancy_pct,max_buffer_occupancy_pct,mean_batch_size,final_tx_queue,final_buffer,idc,sim_seconds
adaptive,500.0,mmpp,1,100.0,150.0,10000,10000,0,10000,9150,0.0,450.6877516891949,0.9013755033783898,456.8,117.74352144430395,348.18730575454936,299.70732032278545,777.9911022771812,812.016355755081,195.2852331742532,0.5608625873107427,15.202900007659315,28.3447265625,8.000410784313726,0.04107843137254902,0.19,10.362694300518134,0,0,10.24316287703016,20.302304568307992
fixed,500.0,mmpp,1,100.0,150.0,10000,10000,0,10000,9210,0.0,453.46412553266293,0.9069282510653258,459.9,121.79616276040021,402.9028576633976,357.0349452660606,820.9279673135779,885.4638504753154,197.4934663146555,0.4901763850969011,11.87875785079657,24.951171875,8.001432843137255,0.1432843137254902,0.6,45.45454545454545,0,0,10.24316287703016,20.31031669634604
adaptive_batch,500.0,mmpp,1,500.0,150.0,10000,10000,0,10000,9163,0.0,252.55437266261413,0.5051087453252282,252.72222222222223,82.92530584330908,7223.222016537846,6863.115601050348,15676.597816922213,16649.53854366548,5061.499282146864,0.7007259738878808,30.281037469869148,46.826171875,8.173890633608815,17.389063360881547,38.61,1.1675423234092235,0,7,10.24316287703016,36.281296195337696
adaptive,1500.0,mmpp,1,100.0,150.0,10000,10000,0,10000,9701,0.0,1489.1629072045046,0.9927752714696697,1569.1666666666667,340.89260283360017,362.53515735180434,316.4726491861982,785.3444346608355,821.8470563491453,194.03581978202374,0.5352193183121582,37.70345052083333,76.416015625,8.001874242424242,0.18742424242424247,0.8500000000000001,33.67003367003367,0,0,39.781244799999996,6.5143980910798875
fixed,1500.0,mmpp,1,100.0,150.0,10000,10000,0,10000,9695,0.0,1477.1555404295805,0.984770360286387,1563.5,351.6951805185849,403.39424994317136,357.63558572679165,828.4464126593622,886.151098780481,198.69621866124544,0.4925608599756615,34.86254142992424,73.291015625,8.004333333333333,0.4333333333333334,0.97,95.23809523809524,0,0,39.781244799999996,6.563289873441858
adaptive_batch,1500.0,mmpp,1,500.0,150.0,10000,10000,0,10000,9622,0.0,365.4504386026229,0.24363362573508193,367.2692307692308,430.7033835662133,6248.854874462845,3273.9273406482653,18824.894434266895,20397.488740338886,6623.54439147901,1.0599613088387452,31.975578539299242,95.166015625,8.215373863636362,21.53738636363636,47.05,1.6688918558077437,0,0,39.781244799999996,26.329151599302364
adaptive,3000.0,mmpp,1,100.0,150.0,10000,10000,0,10000,9596,0.0,2792.1782595556715,0.9307260865185571,3119.6666666666665,379.57388389262684,433.138080867258,390.97653976079494,830.2248347918551,952.6466087649615,203.46051669173323,0.4697359241292084,65.82101004464286,87.5,8.019062857142856,0.3011428571428571,0.9299999999999999,64.1025641025641,0,5,67.76848253968254,3.4367433265263814
fixed,3000.0,mmpp,1,100.0,150.0,10000,10000,0,10000,9533,0.0,2688.1701407719293,0.8960567135906431,3100.0,300.0,447.89810002834184,406.513513840002,852.0413599881938,983.9524984876521,206.48983567650365,0.46101967314314907,62.51695421006944,84.375,8.020425000000001,0.4819444444444444,0.9900000000000001,96.15384615384616,0,0,67.76848253968254,3.5462785094631415
adaptive_batch,3000.0,mmpp,1,500.0,150.0,10000,10000,0,10000,9568,0.0,553.9849927305413,0.18466166424351377,558.8823529411765,855.5462350417525,3164.389441960852,656.4570423509379,12803.318928412757,14342.640443817356,4270.392603228372,1.3495155010320639,35.823614748916185,100.0,8.156020231213873,15.277283236994219,32.67,2.554278416347382,0,10,67.76848253968254,17.27122598184511
adaptive,500.0,mmpp,2,100.0,150.0,10000,10000,0,10000,9133,0.0,486.5364793793231,0.9730729587586462,491.72222222222223,124.55842265216259,352.25344551010915,305.0084309526362,779.242558581063,811.8560556480581,195.9797051000653,0.5563599379880046,16.01445624168883,31.591796875,8.000454787234043,0.04547872340425532,0.22999999999999998,11.235955056179776,0,0,13.022284848484848,18.771459874192807
