scheduler,arrival_rate_txs,workload,trial_id,window_ms_setting,l_target_ms,offered,admitted,dropped,verified,verified_recorded,drop_fraction,served_rate_proofs_s,served_fraction,mean_throughput_proofs_s,std_throughput,mean_latency_ms,median_latency_ms,p95_latency_ms,p99_latency_ms,std_latency_ms,coeff_variation,mean_cpu_pct,peak_cpu_pct,mean_memory_gb,mean_buffer_occupancy_pct,max_buffer_occupancy_pct,mean_batch_size,final_tx_queue,final_buffer,idc,sim_seconds
adaptive,500.0,onoff,1,100.0,150.0,10000,10000,0,10000,9248,0.0,527.5077329677345,1.055015465935469,538.2941176470588,246.98728831305328,349.28535438339634,305.68160030537774,778.9256433087025,809.751730196149,193.13513379583006,0.5529436930923634,16.86581698330966,39.1845703125,8.00046534090909,0.046534090909090914,0.26,12.31527093596059,0,3,37.720424043715845,17.53149654882057
fixed,500.0,onoff,1,100.0,150.0,10000,10000,0,10000,9241,0.0,523.497334238754,1.046994668477508,538.0,242.04854884919266,406.94342922248205,368.3148315952618,822.8686016334983,886.0017829621122,195.00738545830438,0.47920023142010465,12.886349090748588,35.3515625,8.002709039548023,0.27090395480225987,0.97,52.35602094240838,0,0,37.720424043715845,17.65242990862187
adaptive_batch,500.0,onoff,1,500.0,150.0,10000,10000,0,10000,9244,0.0,240.61994555800274,0.48123989111600546,240.8684210526316,28.814571250644416,10951.023550480266,11093.40446064181,20689.402694406646,21447.582737925426,6656.14961838319,0.6078107299925658,29.16300984172078,57.2265625,8.254912207792207,25.49122077922078,49.78,1.1390818999886092,0,0,37.720424043715845,38.41743035292843
adaptive,1500.0,onoff,1,100.0,150.0,10000,10000,0,10000,9316,0.0,1866.0670822918287,1.2440447215278858,1849.0,572.6424131457024,378.2769234793597,333.8691624811106,797.2247208087917,849.1640323303766,194.04412714276796,0.5129684500919754,46.822265625,87.5,8.004994,0.2134,0.65,42.016806722689076,0,5,99.91474059405937,4.992317847736997
fixed,1500.0,onoff,1,100.0,150.0,10000,10000,0,10000,9333,0.0,1812.3420705443787,1.2082280470295859,1866.6,493.9608284064638,406.9041243055962,358.02235298236076,823.7842135661533,892.2848871718829,199.18135062299817,0.48950437885807097,42.61756310096153,84.375,8.007425,0.46749999999999997,0.96,90.9090909090909,0,0,99.91474059405937,5.149690089794483
adaptive_batch,1500.0,onoff,1,500.0,150.0,10000,10000,0,10000,9352,0.0,351.3427603931135,0.23422850692874234,354.3076923076923,412.5886832409022,7174.993595177378,5288.8456993574855,20666.925615849545,22213.607415319137,7240.889819288192,1.0091841509315223,31.872147120786515,100.0,8.239567041198502,23.90314606741573,50.92,1.6302575806977502,0,0,99.91474059405937,26.617881608080243
adaptive,3000.0,onoff,1,100.0,150.0,10000,10000,0,10000,9970,0.0,2640.834314144958,0.880278104714986,2961.3333333333335,781.8576170463093,679.7774534232789,680.885845955418,1218.8120021363115,1429.3008170314756,311.82063063858254,0.45870987492787635,63.27161287006579,87.5,8.084160526315792,0.29421052631578953,0.67,62.5,0,0,223.05758846153844,3.7753220437186186
fixed,3000.0,onoff,1,100.0,150.0,10000,10000,0,10000,9970,0.0,2589.507398467724,0.8631691328225748,2967.3333333333335,749.4006494081342,694.7905161303077,696.2038427679538,1241.6860095392365,1460.1435563355772,316.99613251748826,0.4562470631911098,60.28708433493589,87.5,8.082643589743592,0.3507692307692308,0.98,96.15384615384616,0,0,223.05758846153844,3.8501531240650237
adaptive_batch,3000.0,onoff,1,500.0,150.0,10000,10000,0,10000,10000,0.0,541.5632943327294,0.18052109811090977,549.5555555555555,790.8044468783761,3606.467176512541,821.8925184243342,14028.294485958722,15645.435389413104,4703.454539422592,1.3041722852919013,35.02335831925676,100.0,8.176554054054053,15.987135135135135,34.72,2.444987775061125,0,5,223.05758846153844,18.46506235678545
adaptive,500.0,onoff,2,100.0,150.0,10000,10000,0,10000,9254,0.0,507.20903935777204,1.0144180787155441,513.1111111111111,291.43759071376803,353.246283992239,309.0079626639455,779.0616043961043,815.303390787766,193.9507848260445,0.5490525834669663,16.189458461407106,38.8916015625,8.000433879781422,0.04338797814207651,0.27,12.31527093596059,0,1,39.19764693877551,18.244942976011256
fixed,500.0,onoff,2,100.0,150.0,10000,10000,0,10000,9257,0.0,505.50006958747053,1.011000139174941,513.5555555555555,301.76407267193946,408.84846424175487,367.4060139925768,819.2665419293262,888.5818023112172,195.77822217402775,0.47885277626544476,12.874570100203805,37.5244140625,8.002114130434784,0.2114130434782609,0.95,51.02040816326531,0,0,39.19764693877551,18.31255929906097
adaptive_batch,500.0,onoff,2,500.0,150.0,10000,10000,0,10000,9250,0.0,241.28402689855372,0.48256805379710743,241.55263157894737,39.06868336551222,8969.0855382552,8455.89908364887,19585.89527150024,20680.188323087856,6123.960328867695,0.6827853634294828,29.744911193847656,57.373046875,8.207911458333333,20.79114583333333,48.08,1.1238480557428636,0,0,39.19764693877551,38.33656176456762
adaptive,1500.0,onoff,2,100.0,150.0,10000,10000,0,10000,9502,0.0,1699.390991113131,1.132927327408754,1839.2,596.7283301469773,373.76366919618187,329.5597304737505,793.6405079797056,829.7300669506362,194.9182490130141,0.5215013257768106,43.38466099330357,84.375,8.002726785714286,0.18535714285714283,0.67,39.52569169960474,0,12,99.91280733944954,5.59141483607373
fixed,1500.0,onoff,2,100.0,150.0,10000,10000,0,10000,9548,0.0,1670.6399467829456,1.1137599645219638,1856.0,608.9683899842421,403.34661771951573,355.7649965425809,823.539927831533,878.6534645636444,198.73067117229505,0.49270444437069977,38.817517510775865,84.375,8.005575862068966,0.47327586206896544,0.95,91.74311926605505,0,0,99.91280733944954,5.715175204798634
adaptive_batch,1500.0,onoff,2,500.0,150.0,10000,10000,0,10000,9514,0.0,365.20292162398385,0.24346861441598924,365.65384615384613,422.6109267217489,6767.634978591567,4030.9036767645503,19469.09217192482,20932.81078265837,6979.907335261136,1.0313658105587937,32.02170887212644,100.0,8.234179310344826,23.39919540229885,48.05,1.688903901368012,0,0,99.91280733944954,26.05127022996738
adaptive,3000.0,onoff,2,100.0,150.0,10000,10000,0,10000,9824,0.0,2712.731580635789,0.9042438602119297,3074.6666666666665,314.45561424998175,637.1165442560006,625.2315494018967,1137.0542610725734,1341.9861360233908,282.9052375508231,0.44404001136273835,66.17464632601352,87.5,8.074278378378377,0.29567567567567565,0.8,57.47126436781609,0,0,238.3079619047619,3.621441970199472
fixed,3000.0,onoff,2,100.0,150.0,10000,10000,0,10000,9824,0.0,2645.3090187652924,0.8817696729217641,3056.6666666666665,350.1904243884081,652.5224048427385,635.0861512429149,1155.3866830435068,1391.4347300544334,287.91467346051525,0.4412333911046384,62.62399773848685,84.375,8.07402105263158,0.45763157894736844,0.98,91.74311926605505,0,0,238.3079619047619,3.7137438122769444
adaptive_batch,3000.0,onoff,2,500.0,150.0,10000,10000,0,10000,9838,0.0,390.83624408827575,0.13027874802942524,391.96,585.7391683448643,6847.196634391671,2976.933765982954,21033.344687839584,22677.991203309644,7443.133018674664,1.087033630857008,33.05441235739087,100.0,8.254109523809525,24.36376984126984,50.690000000000005,1.7229496898690557,0,7,238.3079619047619,25.17166754314104
adaptive,500.0,onoff,3,100.0,150.0,10000,10000,0,10000,9293,0.0,502.19654266145284,1.0043930853229057,509.6111111111111,279.9302725971949,361.12552235073565,314.38995605821776,785.5790352988834,817.6223150144001,199.5316912167422,0.5525272484699965,16.128244707661292,38.525390625,8.000544623655914,0.054462365591397846,0.72,12.77139208173691,0,0,39.328008021390374,18.504707242209584
fixed,500.0,onoff,3,100.0,150.0,10000,10000,0,10000,9407,0.0,507.0179298491625,1.014035859698325,516.2777777777778,296.65484113906155,417.5713881585761,372.2696052505725,833.1712095564154,889.5004285325522,201.5672209615431,0.4827131998924129,13.238459761424732,34.814453125,8.001704301075268,0.17043010752688167,0.97,52.91005291005291,0,0,39.328008021390374,18.553584491180768
adaptive_batch,500.0,onoff,3,500.0,150.0,10000,10000,0,10000,9298,0.0,273.272025901533,0.5465440518030661,273.3529411764706,146.22499938667394,6351.343293067081,5151.102644254439,14639.464188807284,16146.053874991909,5170.262692648409,0.8140423929363256,30.049057230571847,54.150390625,8.163780351906157,16.378035190615833,37.169999999999995,1.2828736369467608,0,0,39.328008021390374,34.02470475829205
