scheduler,arrival_rate_txs,workload,trial_id,window_ms_setting,l_target_ms,offered,admitted,dropped,verified,verified_recorded,drop_fraction,served_rate_proofs_s,served_fraction,mean_throughput_proofs_s,std_throughput,mean_latency_ms,median_latency_ms,p95_latency_ms,p99_latency_ms,std_latency_ms,coeff_variation,mean_cpu_pct,peak_cpu_pct,mean_memory_gb,mean_buffer_occupancy_pct,max_buffer_occupancy_pct,mean_batch_size,final_tx_queue,final_buffer,idc,sim_seconds
adaptive,250,poisson,1,100.0,150.0,20000,20000,0,20000,18081,0.0,250.62042434571524,1.002481697382861,251.08333333333334,18.0091917063341,347.8958975199951,300.84417907723804,775.4522443523086,812.7681405389773,193.90889460259768,0.5573762035853064,10.713039408760388,16.552734375,8.000218421052631,0.021842105263157895,0.11,5.859947260474656,0,0,1.0657858395989976,72.14495804642957
fixed,250,poisson,1,100.0,150.0,20000,20000,0,20000,18087,0.0,250.59140494213318,1.0023656197685327,251.15277777777777,19.444873122929426,392.59260093171247,347.7192022025193,808.3870127449196,872.6260072568442,196.0852712124268,0.49946247266777666,7.994895364439058,11.03515625,8.00043836565097,0.04383656509695291,0.35000000000000003,25.220680958385877,0,3,1.0657858395989976,72.17725605623492
adaptive_batch,250,poisson,1,500.0,150.0,20000,20000,0,20000,18085,0.0,235.32777897531932,0.9413111159012773,235.51315789473685,6.950287132778773,2860.8540047968145,2854.202125774897,5105.194795367129,5462.695938555853,1404.8609588747865,0.4910634924114429,30.145239861020805,32.91015625,8.059414304291288,5.941430429128738,11.88,1.0313531353135315,0,1,1.0657858395989976,76.85025575283535
adaptive,500,poisson,1,100.0,150.0,20000,20000,0,20000,18154,0.0,498.1927197175473,0.9963854394350945,503.0833333333333,21.66283848964792,349.6500372406244,302.8752722671211,779.7486530021354,813.8488366280542,194.06270241540557,0.5550198248137301,16.472937178938356,23.5107421875,8.000475342465753,0.04753424657534246,0.18,11.031439602868174,0,0,1.1057289836888333,36.439713551600065
fixed,500,poisson,1,100.0,150.0,20000,20000,0,20000,18167,0.0,498.3391080654393,0.9966782161308786,503.6666666666667,21.73476477903545,401.70007788541676,355.64750193642425,818.0489505083326,883.8322298627255,196.1043578588165,0.48818600905214277,13.45923854880137,17.2607421875,8.00095506849315,0.0955068493150685,0.6,49.504950495049506,0,0,1.1057289836888333,36.455095949672895
adaptive_batch,500,poisson,1,500.0,150.0,20000,20000,0,20000,18351,0.0,235.87378470353292,0.47174756940706586,235.76623376623377,6.535119907682812,21421.144735200425,21337.308324950158,40127.681513149226,41792.262205532534,11947.19288612921,0.5577289651797607,30.08279469873235,39.1357421875,8.496655712451862,49.66557124518614,97.81,1.0655301012253595,0,0,1.1057289836888333,77.80008288358609
adaptive,1000,poisson,1,100.0,150.0,20000,20000,0,20000,18215,0.0,981.7849401351449,0.981784940135145,1003.8888888888889,34.83556142606691,352.8312916890402,305.3332982189616,781.5473023735204,816.6661061540491,194.42955697249835,0.5510553104339011,27.580408896169356,34.27734375,8.000920430107527,0.09204301075268817,0.29,21.34471718249733,0,1,1.1329261306532665,18.55294296680968
fixed,1000,poisson,1,100.0,150.0,20000,20000,0,20000,18290,0.0,982.6030324582136,0.9826030324582137,1008.5,65.48035179035185,416.8581128943348,371.89806124999154,834.4253574938459,895.3124559639673,196.00819164799785,0.4702036150551831,23.689604570521393,28.173828125,8.004469518716578,0.446951871657754,0.9900000000000001,93.02325581395348,0,0,1.1329261306532665,18.61382409358461
adaptive_batch,1000,poisson,1,500.0,150.0,20000,20000,3230,16770,15018,0.1615,246.55977959964568,0.24655977959964567,246.83333333333334,83.2900113380984,21822.256647543556,21868.080968890114,42695.0840542019,43117.397247861096,13726.271309416361,0.6290032937982825,31.46304271260246,50.048828125,8.528982131147542,52.8982131147541,100.0,1.1651497255610366,0,0,1.1329261306532665,60.91017774426005
adaptive,1500,poisson,1,100.0,150.0,20000,20000,0,20000,18340,0.0,1452.642818249629,0.9684285454997527,1509.1666666666667,53.775346384638745,356.72613706223814,310.3320412208046,784.945188699423,819.1226443731556,194.72482054428997,0.5458664233238291,38.171867310531496,48.6083984375,8.001311811023621,0.1311811023622047,0.37,31.695721077654518,0,0,1.1542694339622641,12.625264634632549
fixed,1500,poisson,1,100.0,150.0,20000,20000,0,20000,18387,0.0,1442.1092198357037,0.9614061465571357,1508.3333333333333,51.49286505444372,403.9444658850475,357.82666034457833,825.5204765960896,875.1562123557442,195.96984871542534,0.48514057071199845,34.52892303466797,41.9189453125,8.004784375,0.47843750000000007,0.9900000000000001,97.0873786407767,0,0,1.1542694339622641,12.750074506905094
adaptive_batch,1500,poisson,1,500.0,150.0,20000,20000,3617,16383,14736,0.18085,268.2756553061223,0.1788504368707482,268.8703703703704,181.8448484748506,19600.21312993519,19103.76111726383,42512.863124329575,42990.23742422631,14275.647917050512,0.728341463555183,32.10968572443182,61.8408203125,8.516126,51.6126,100.0,1.2696063236205828,0,0,1.1542694339622641,54.92857703836428
adaptive,2000,poisson,1,100.0,150.0,20000,20000,0,20000,18690,0.0,1934.1532628721902,0.9670766314360951,2023.0,45.68095883407002,362.95453657249976,315.8321646192999,790.009828159834,826.2743179914761,195.6070867341145,0.538929995423937,48.77980025773196,56.689453125,8.001970103092784,0.19701030927835053,0.59,42.016806722689076,0,0,1.1256439393939393,9.663143225912519
fixed,2000,poisson,1,100.0,150.0,20000,20000,0,20000,18649,0.0,1896.9393666603914,0.9484696833301958,2011.111111111111,78.17359599705716,397.4279781831683,351.62751748798104,820.8535140043858,863.3835344689288,196.0986981440929,0.4934194593962736,45.205965909090914,55.2490234375,8.003673737373738,0.36737373737373735,0.9900000000000001,97.5609756097561,0,0,1.1256439393939393,9.831099679707751
adaptive_batch,2000,poisson,1,500.0,150.0,20000,20000,3451,16549,15145,0.17255,291.50763185687924,0.1457538159284396,292.6470588235294,283.72781488810097,17711.52572052315,16382.72794300453,41937.52543903799,42875.97454074632,14473.240488335729,0.8171650888079578,32.57887620192308,73.9990234375,8.506028461538461,50.60284615384616,100.0,1.362394006750638,0,8,1.1256439393939393,51.95404286168296
adaptive,2500,poisson,1,100.0,150.0,20000,20000,0,20000,18877,0.0,2388.6916985650423,0.9554766794260169,2545.5714285714284,76.61343907970095,367.8446223474016,320.65596894235426,794.148345253715,828.249371365268,195.76486907512665,0.532194457066825,58.44329833984375,69.43359375,8.00275125,0.275125,0.95,51.81347150259067,0,0,1.1492645569620252,7.902652322750555
