arrival_rate_txs,scheduler_type,trial_id,mean_throughput_proofs_s,std_throughput
1000,adaptive,1,991.2,22.8
1000,adaptive,2,984.5,24.1
1000,adaptive,3,989.7,23.5
1000,adaptive,4,982.1,24.8
1000,adaptive,5,993.4,22.2
1000,adaptive,6,985.8,23.9
1000,adaptive,7,990.1,23.1
1000,adaptive,8,983.6,24.5
1000,adaptive,9,988.2,23.7
1000,adaptive,10,986.9,23.3
1000,adaptive,11,992.5,22.5
1000,adaptive,12,984.3,24.2
1000,adaptive,13,987.8,23.6
1000,adaptive,14,991.6,22.7
1000,adaptive,15,985.2,24.0
1000,adaptive,16,989.4,23.4
1000,adaptive,17,982.7,24.7
1000,adaptive,18,990.8,23.0
1000,adaptive,19,986.1,23.8
1000,adaptive,20,988.5,23.5
1000,adaptive,21,984.9,24.3
1000,adaptive,22,991.3,22.6
1000,adaptive,23,987.2,23.7
1000,adaptive,24,983.8,24.6
1000,adaptive,25,989.9,23.2
1000,adaptive,26,985.5,23.9
1000,adaptive,27,992.1,22.4
1000,adaptive,28,986.4,23.8
1000,adaptive,29,988.9,23.4
1000,adaptive,30,984.1,24.4
1000,fixed,1,837.2,30.5
1000,fixed,2,831.8,32.1
1000,fixed,3,839.4,29.8
1000,fixed,4,828.6,33.2
1000,fixed,5,841.1,29.3
1000,fixed,6,833.5,31.4
1000,fixed,7,836.7,30.8
1000,fixed,8,829.9,32.8
1000,fixed,9,838.2,30.1
1000,fixed,10,834.8,31.1
1000,fixed,11,840.5,29.5
1000,fixed,12,830.4,32.6
1000,fixed,13,837.9,30.3
1000,fixed,14,832.1,31.8
1000,fixed,15,839.8,29.6
1000,fixed,16,835.2,30.9
1000,fixed,17,828.3,33.4
1000,fixed,18,841.6,29.1
1000,fixed,19,833.9,31.2
1000,fixed,20,836.4,30.6
1000,fixed,21,830.7,32.4
1000,fixed,22,838.8,30.0
1000,fixed,23,834.1,31.5
1000,fixed,24,829.2,33.0
1000,fixed,25,840.2,29.4
1000,fixed,26,832.8,31.6
1000,fixed,27,837.5,30.4
1000,fixed,28,831.2,32.2
1000,fixed,29,839.1,29.9
1000,fixed,30,835.6,30.7
2500,adaptive,1,2461.3,44.9
2500,adaptive,2,2452.7,46.2
2500,adaptive,3,2458.9,45.3
2500,adaptive,4,2449.4,47.1
2500,adaptive,5,2463.2,44.5
2500,adaptive,6,2454.6,46.0
2500,adaptive,7,2459.8,45.1
2500,adaptive,8,2450.3,46.8
2500,adaptive,9,2457.1,45.6
2500,adaptive,10,2455.8,45.8
2500,adaptive,11,2462.4,44.7
2500,adaptive,12,2451.2,46.5
2500,adaptive,13,2458.3,45.4
2500,adaptive,14,2460.9,44.8
2500,adaptive,15,2453.5,46.1
2500,adaptive,16,2457.7,45.5
2500,adaptive,17,2448.6,47.3
2500,adaptive,18,2461.8,44.6
2500,adaptive,19,2454.2,46.0
2500,adaptive,20,2458.5,45.3
2500,adaptive,21,2450.9,46.7
2500,adaptive,22,2462.1,44.7
2500,adaptive,23,2456.3,45.7
2500,adaptive,24,2449.8,47.0
2500,adaptive,25,2459.4,45.2
2500,adaptive,26,2453.1,46.2
2500,adaptive,27,2463.7,44.4
2500,adaptive,28,2455.4,45.9
2500,adaptive,29,2458.1,45.4
2500,adaptive,30,2451.6,46.4
2500,fixed,1,1992.1,58.2
2500,fixed,2,1983.5,59.8
2500,fixed,3,1989.7,58.6
2500,fixed,4,1978.2,60.5
2500,fixed,5,1995.4,57.8
2500,fixed,6,1985.8,59.3
2500,fixed,7,1990.6,58.4
2500,fixed,8,1979.9,60.2
2500,fixed,9,1988.3,58.8
2500,fixed,10,1986.2,59.1
2500,fixed,11,1994.1,57.9
2500,fixed,12,1980.8,60.0
2500,fixed,13,1989.1,58.7
2500,fixed,14,1992.8,58.1
2500,fixed,15,1984.3,59.5
2500,fixed,16,1987.9,58.9
2500,fixed,17,1977.1,60.8
2500,fixed,18,1993.7,57.9
2500,fixed,19,1985.2,59.4
2500,fixed,20,1990.2,58.5
2500,fixed,21,1981.5,59.9
2500,fixed,22,1991.9,58.2
2500,fixed,23,1986.8,59.0
2500,fixed,24,1978.6,60.4
2500,fixed,25,1989.8,58.6
2500,fixed,26,1984.1,59.6
2500,fixed,27,1994.6,57.8
2500,fixed,28,1985.9,59.2
2500,fixed,29,1988.7,58.7
2500,fixed,30,1982.3,59.7
5000,adaptive,1,4852.6,88.9
5000,adaptive,2,4841.3,90.5
5000,adaptive,3,4849.1,89.3
5000,adaptive,4,4838.7,91.2
5000,adaptive,5,4855.4,88.4
5000,adaptive,6,4843.8,90.1
5000,adaptive,7,4850.2,89.1
5000,adaptive,8,4836.5,91.8
5000,adaptive,9,4847.6,89.6
5000,adaptive,10,4845.2,89.9
5000,adaptive,11,4854.1,88.6
5000,adaptive,12,4839.9,91.0
5000,adaptive,13,4848.5,89.4
5000,adaptive,14,4851.8,88.9
5000,adaptive,15,4842.1,90.3
5000,adaptive,16,4847.3,89.7
5000,adaptive,17,4835.6,92.1
5000,adaptive,18,4853.2,88.7
5000,adaptive,19,4843.5,90.2
5000,adaptive,20,4849.7,89.2
5000,adaptive,21,4837.8,91.5
5000,adaptive,22,4854.6,88.5
5000,adaptive,23,4846.1,89.8
5000,adaptive,24,4836.2,91.9
5000,adaptive,25,4850.9,89.0
5000,adaptive,26,4841.9,90.4
5000,adaptive,27,4856.3,88.2
5000,adaptive,28,4844.7,90.0
5000,adaptive,29,4848.2,89.5
5000,adaptive,30,4839.1,91.1
5000,fixed,1,3784.2,111.5
5000,fixed,2,3772.8,113.4
5000,fixed,3,3781.5,112.0
5000,fixed,4,3768.3,114.2
5000,fixed,5,3787.9,110.8
5000,fixed,6,3775.4,112.9
5000,fixed,7,3782.6,111.7
5000,fixed,8,3769.7,113.9
5000,fixed,9,3780.1,112.2
5000,fixed,10,3777.3,112.6
5000,fixed,11,3786.4,111.0
5000,fixed,12,3770.9,113.6
5000,fixed,13,3781.2,112.1
5000,fixed,14,3785.1,111.2
5000,fixed,15,3774.2,113.1
5000,fixed,16,3779.5,112.4
5000,fixed,17,3766.8,114.5
5000,fixed,18,3787.2,110.9
5000,fixed,19,3775.9,112.8
5000,fixed,20,3782.1,111.8
5000,fixed,21,3771.3,113.5
5000,fixed,22,3785.8,111.1
5000,fixed,23,3778.1,112.5
5000,fixed,24,3768.9,114.1
5000,fixed,25,3783.4,111.5
5000,fixed,26,3773.6,113.2
5000,fixed,27,3788.5,110.6
5000,fixed,28,3776.7,112.7
5000,fixed,29,3780.8,112.3
5000,fixed,30,3772.1,113.5
7500,adaptive,1,7241.2,122.5
7500,adaptive,2,7228.5,124.8
7500,adaptive,3,7237.8,123.1
7500,adaptive,4,7224.1,125.6
7500,adaptive,5,7244.6,121.9
7500,adaptive,6,7231.3,124.2
7500,adaptive,7,7238.9,122.8
7500,adaptive,8,7221.6,126.1
7500,adaptive,9,7235.4,123.5
7500,adaptive,10,7232.7,123.9
7500,adaptive,11,7243.1,122.2
7500,adaptive,12,7225.8,125.3
7500,adaptive,13,7236.5,123.3
7500,adaptive,14,7240.2,122.6
7500,adaptive,15,7229.4,124.5
7500,adaptive,16,7234.8,123.6
7500,adaptive,17,7220.3,126.4
7500,adaptive,18,7242.4,122.3
7500,adaptive,19,7230.6,124.3
7500,adaptive,20,7237.2,123.0
7500,adaptive,21,7223.5,125.8
7500,adaptive,22,7243.8,122.0
7500,adaptive,23,7233.9,123.8
7500,adaptive,24,7221.2,126.2
7500,adaptive,25,7239.5,122.7
7500,adaptive,26,7228.1,124.9
7500,adaptive,27,7245.2,121.7
7500,adaptive,28,7232.4,124.0
7500,adaptive,29,7236.1,123.4
7500,adaptive,30,7225.2,125.4
7500,fixed,1,5462.3,155.9
7500,fixed,2,5449.8,158.2
7500,fixed,3,5459.1,156.4
7500,fixed,4,5444.2,159.1
7500,fixed,5,5466.7,155.2
7500,fixed,6,5452.5,157.6
7500,fixed,7,5460.2,156.2
7500,fixed,8,5446.1,158.7
7500,fixed,9,5457.4,156.8
7500,fixed,10,5454.6,157.2
7500,fixed,11,5464.8,155.4
7500,fixed,12,5447.3,158.5
7500,fixed,13,5458.2,156.6
7500,fixed,14,5463.1,155.6
7500,fixed,15,5451.2,157.8
7500,fixed,16,5456.5,156.9
7500,fixed,17,5442.6,159.4
7500,fixed,18,5465.4,155.3
7500,fixed,19,5452.9,157.5
7500,fixed,20,5459.7,156.3
7500,fixed,21,5448.1,158.4
7500,fixed,22,5463.9,155.5
7500,fixed,23,5455.3,157.1
7500,fixed,24,5445.2,158.9
7500,fixed,25,5460.8,156.1
7500,fixed,26,5450.5,157.9
7500,fixed,27,5467.2,155.1
7500,fixed,28,5453.8,157.4
7500,fixed,29,5457.9,156.7
7500,fixed,30,5448.9,158.3
10000,adaptive,1,9241.5,155.3
10000,adaptive,2,9226.8,157.9
10000,adaptive,3,9237.2,155.9
10000,adaptive,4,9221.3,158.7
10000,adaptive,5,9245.9,154.5
10000,adaptive,6,9230.1,157.2
10000,adaptive,7,9238.4,155.7
10000,adaptive,8,9218.6,159.4
10000,adaptive,9,9234.7,156.3
10000,adaptive,10,9231.5,156.8
10000,adaptive,11,9244.2,154.8
10000,adaptive,12,9223.8,158.2
10000,adaptive,13,9235.6,156.1
10000,adaptive,14,9240.3,155.4
10000,adaptive,15,9228.4,157.5
10000,adaptive,16,9233.9,156.5
10000,adaptive,17,9216.2,159.9
10000,adaptive,18,9243.1,154.9
10000,adaptive,19,9229.3,157.3
10000,adaptive,20,9236.8,155.8
10000,adaptive,21,9220.5,158.9
10000,adaptive,22,9244.8,154.6
10000,adaptive,23,9232.6,156.7
10000,adaptive,24,9217.9,159.6
10000,adaptive,25,9239.1,155.5
10000,adaptive,26,9227.2,157.7
10000,adaptive,27,9246.5,154.3
10000,adaptive,28,9231.2,156.9
10000,adaptive,29,9235.3,156.2
10000,adaptive,30,9222.9,158.4
10000,fixed,1,6888.4,197.8
10000,fixed,2,6874.2,200.5
10000,fixed,3,6885.1,198.4
10000,fixed,4,6868.5,201.4
10000,fixed,5,6893.7,196.9
10000,fixed,6,6877.6,199.8
10000,fixed,7,6886.3,198.2
10000,fixed,8,6870.8,200.9
10000,fixed,9,6883.2,198.8
10000,fixed,10,6879.9,199.3
10000,fixed,11,6891.5,197.2
10000,fixed,12,6872.4,200.6
10000,fixed,13,6884.1,198.6
10000,fixed,14,6889.8,197.4
10000,fixed,15,6876.2,199.9
10000,fixed,16,6882.4,198.9
10000,fixed,17,6866.1,201.8
10000,fixed,18,6892.3,197.1
10000,fixed,19,6878.5,199.5
10000,fixed,20,6885.9,198.3
10000,fixed,21,6871.6,200.8
10000,fixed,22,6890.6,197.3
10000,fixed,23,6880.7,199.2
10000,fixed,24,6869.3,201.2
10000,fixed,25,6887.2,198.0
10000,fixed,26,6875.4,200.1
10000,fixed,27,6894.1,196.7
10000,fixed,28,6879.1,199.4
10000,fixed,29,6883.8,198.7
10000,fixed,30,6873.5,200.4
